,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,1163304.0,1148982.0,2264.0,1023.0,1137.1495601173021,397.30444154829183,1506.0,54.0,44949.0,41547.0,1644.0,243.0,184.97530864197532,300.07749240479535,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
1,1,1356349.0,1339717.0,2264.0,1188.0,1141.7079124579125,388.0939085538254,1506.0,54.0,47144.0,43434.0,1644.0,265.0,177.90188679245284,288.94930970906586,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
2,2,1400614.0,1383534.0,1972.0,1220.0,1148.044262295082,377.94887286492286,1454.0,65.0,46399.0,42745.0,1384.0,261.0,177.77394636015325,290.5985345570846,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
3,3,1693492.0,1673164.0,2004.0,1452.0,1166.3168044077136,354.6440172536543,1454.0,65.0,46385.0,42381.0,1416.0,286.0,162.1853146853147,265.3793509755453,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
4,4,2817334.0,2785064.0,192.0,2305.0,1222.270715835141,260.9437428032417,1294.0,65.0,53646.0,48998.0,192.0,332.0,161.5843373493976,277.1219700072614,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
5,5,3037148.0,3002890.0,128.0,2447.0,1241.1720474049857,224.11123158515835,1294.0,66.0,37292.0,33008.0,128.0,306.0,121.86928104575163,194.60559049968597,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
6,6,3914597.0,3870819.0,128.0,3127.0,1251.8698433002878,202.006497144183,1294.0,66.0,44798.0,39254.0,128.0,396.0,113.12626262626263,173.37165723524905,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
7,7,5030784.0,4974476.0,128.0,4022.0,1250.8165091994033,205.75339515557945,1294.0,66.0,54244.0,47272.0,128.0,498.0,108.92369477911646,156.90407821290876,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
8,8,5554386.0,5492520.0,32.0,4419.0,1256.9327902240325,190.55379627101723,1294.0,66.0,57274.0,49700.0,32.0,541.0,105.86691312384472,150.4840521131019,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
9,9,5149416.0,5092142.0,0.0,4091.0,1258.7181618186262,186.2208641035405,1294.0,68.0,42028.0,35210.0,0.0,487.0,86.29979466119096,49.57843287275224,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
10,10,4469846.0,4419992.0,0.0,3561.0,1255.2221286155575,193.98605063108377,1294.0,68.0,38035.0,31917.0,0.0,437.0,87.03661327231121,52.10953553614956,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
11,11,4072196.0,4026570.0,0.0,3259.0,1249.5231666155262,206.5214245631585,1294.0,68.0,34447.0,28889.0,0.0,397.0,86.76826196473552,49.685679028324465,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
12,12,3790598.0,3748276.0,0.0,3023.0,1253.919285478002,195.810251899157,1294.0,68.0,31166.0,26014.0,0.0,368.0,84.69021739130434,45.39065590439294,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
13,13,3833063.0,3790181.0,0.0,3063.0,1251.4080966372837,201.23222257940031,1294.0,68.0,31573.0,26351.0,0.0,373.0,84.6461126005362,45.07453722224615,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
14,14,3525461.0,3485827.0,0.0,2831.0,1245.305898975627,216.8932765829232,1294.0,66.0,30013.0,25155.0,0.0,347.0,86.492795389049,49.692968903741516,549.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
15,15,4262201.0,4214377.0,0.0,3416.0,1247.7169203747073,212.43000311688448,1294.0,66.0,36115.0,30249.0,0.0,419.0,86.19331742243436,50.701412926718234,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
16,16,4593148.0,4541656.0,0.0,3678.0,1248.816748232735,210.41126801982057,1294.0,65.0,53433.0,47077.0,0.0,454.0,117.69383259911895,194.7403695895287,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
17,17,4533521.0,4482687.0,0.0,3631.0,1248.5599008537592,211.62822553844487,1294.0,65.0,52987.0,46715.0,0.0,448.0,118.27455357142857,196.66778340910514,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
18,18,4050707.0,4005137.0,32.0,3255.0,1244.4568356374807,221.3415663562831,1294.0,65.0,50317.0,44535.0,32.0,413.0,121.83292978208233,205.12855162767846,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
19,19,4485080.0,4434834.0,32.0,3589.0,1249.674003900808,209.0056188908242,1294.0,65.0,53689.0,47305.0,32.0,456.0,117.7390350877193,195.6401545061987,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
20,20,4398826.0,4349602.0,32.0,3516.0,1251.0881683731513,206.48514910210085,1294.0,65.0,51744.0,45626.0,32.0,437.0,118.40732265446225,198.61117042431667,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
21,21,4627996.0,4576476.0,32.0,3680.0,1257.607608695652,191.08938509054255,1294.0,66.0,38813.0,32485.0,32.0,452.0,85.86946902654867,51.63060804724932,558.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
22,22,4442385.0,4392811.0,32.0,3541.0,1254.5566224230442,197.3384524399905,1294.0,66.0,38189.0,31973.0,32.0,444.0,86.01126126126127,51.93713593759489,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
23,23,4421654.0,4372332.0,0.0,3523.0,1255.0820323587852,197.7502125135343,1294.0,66.0,37190.0,31142.0,0.0,432.0,86.08796296296296,49.94614362007488,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
24,24,4327789.0,4279335.0,0.0,3461.0,1250.4446691707599,208.34719390566204,1294.0,66.0,36318.0,30424.0,0.0,421.0,86.26603325415677,50.38125910557444,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
25,25,4464199.0,4414205.0,0.0,3571.0,1250.1257350882106,208.07695767437227,1294.0,66.0,37802.0,31642.0,0.0,440.0,85.91363636363636,49.31136505046779,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
26,26,3992868.0,3947872.0,0.0,3214.0,1242.3360298693217,224.9909526548164,1294.0,66.0,33805.0,28359.0,0.0,389.0,86.90231362467867,55.10346164851816,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
27,27,4229432.0,4181916.0,0.0,3394.0,1246.1496758986448,216.54941417969366,1294.0,68.0,36622.0,30756.0,0.0,419.0,87.40334128878281,55.3691632323066,551.0,72.0,0,0,0,6,1587346563,1587346804,2,1,0
28,28,4661562.0,4609146.0,0.0,3744.0,1245.0753205128206,217.56195377071273,1294.0,68.0,40367.0,33913.0,0.0,461.0,87.56399132321042,57.1655768091413,551.0,72.0,0,0,0,6,1587346563,1587346804,2,1,0
29,29,4663063.0,4610773.0,64.0,3735.0,1248.477376171352,211.8601075653148,1294.0,66.0,40534.0,34094.0,64.0,460.0,88.11739130434782,60.52084910015227,551.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
30,30,4586019.0,4534499.0,64.0,3680.0,1246.2008152173912,216.86495033572854,1294.0,66.0,41010.0,34570.0,64.0,460.0,89.15217391304348,62.274171975820785,551.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
31,31,4644478.0,4592300.0,64.0,3727.0,1246.1706466326805,216.02790980083333,1294.0,66.0,40699.0,34231.0,64.0,462.0,88.0930735930736,58.306196492546874,551.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
32,32,4714436.0,4661390.0,84.0,3789.0,1244.242808128794,221.66409943597085,1294.0,66.0,51315.0,44651.0,104.0,476.0,107.8046218487395,162.38848034902935,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
33,33,4369048.0,4319642.0,116.0,3529.0,1238.0413714933409,231.75616085815366,1294.0,66.0,48374.0,42158.0,136.0,444.0,108.95045045045045,166.65551478395545,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
34,34,4483043.0,4432405.0,52.0,3617.0,1239.436826098977,228.48517623134444,1294.0,66.0,49081.0,42697.0,72.0,456.0,107.63377192982456,163.49911368336598,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
35,35,4212286.0,4164700.0,52.0,3399.0,1239.272138864372,229.2886278614647,1294.0,66.0,46333.0,40355.0,72.0,427.0,108.50819672131148,167.42800697803156,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
36,36,3532701.0,3492703.0,52.0,2857.0,1236.5071753587679,234.63976672129377,1294.0,66.0,41562.0,36354.0,72.0,372.0,111.7258064516129,178.36063527512866,1274.0,54.0,0,0,0,6,1587346563,1587346804,2,1,0
37,37,3254818.0,3217662.0,32.0,2654.0,1226.3820648078372,250.91609740620518,1294.0,66.0,27972.0,23408.0,32.0,326.0,85.8036809815951,44.87622498910152,559.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
38,38,3432666.0,3393830.0,0.0,2774.0,1237.4426820475846,232.7309300282136,1294.0,68.0,29824.0,25008.0,0.0,344.0,86.69767441860465,50.246443763422114,559.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
39,39,3063650.0,3028608.0,0.0,2503.0,1223.9912105473431,253.74817705320254,1294.0,66.0,27060.0,22650.0,0.0,315.0,85.9047619047619,45.19057152882712,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
40,40,3157622.0,3121432.0,0.0,2585.0,1221.5172147001933,255.18705051029048,1294.0,66.0,28322.0,23772.0,0.0,325.0,87.14461538461538,47.88152696867625,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
41,41,4005931.0,3960291.0,0.0,3260.0,1228.813190184049,245.15852717303335,1294.0,66.0,35521.0,29851.0,0.0,405.0,87.70617283950617,51.31890212175698,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
42,42,4271900.0,4223684.0,0.0,3444.0,1240.389082462253,223.88783112555166,1294.0,66.0,37373.0,31367.0,0.0,429.0,87.11655011655012,49.92260145815773,550.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
43,43,4153428.0,4106388.0,0.0,3360.0,1236.1392857142857,230.5826218092816,1294.0,66.0,36294.0,30400.0,0.0,421.0,86.20902612826603,47.95686912425808,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
44,44,4311885.0,4263193.0,0.0,3478.0,1239.7599194939621,226.2167220356912,1294.0,66.0,38034.0,31916.0,0.0,437.0,87.03432494279176,52.08777324449059,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
45,45,3663336.0,3621938.0,0.0,2957.0,1238.869124112276,229.62321577136044,1294.0,66.0,32004.0,26796.0,0.0,372.0,86.03225806451613,51.290958270220386,551.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
46,46,3231936.0,3195298.0,0.0,2617.0,1234.977455101261,235.20119735340086,1294.0,66.0,28413.0,23765.0,0.0,332.0,85.58132530120481,51.371573529708776,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
47,47,3326487.0,3288701.0,0.0,2699.0,1232.4886995183401,238.00490871214495,1294.0,66.0,29381.0,24565.0,0.0,344.0,85.40988372093024,50.60670302128122,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
48,48,3186650.0,3150614.0,32.0,2574.0,1238.014763014763,230.35394832082895,1294.0,66.0,27760.0,23238.0,32.0,323.0,85.94427244582043,52.23449736403272,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
49,49,3014404.0,2980412.0,32.0,2428.0,1241.5172981878088,224.01082790510344,1294.0,66.0,26726.0,22386.0,32.0,310.0,86.21290322580646,49.73237889872269,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
50,50,3591693.0,3551415.0,32.0,2877.0,1248.4160583941605,210.60683708167738,1294.0,66.0,31260.0,26192.0,32.0,362.0,86.353591160221,52.175297925578775,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
51,51,4084325.0,4038671.0,32.0,3261.0,1252.476234283962,200.29570550492522,1294.0,66.0,34519.0,28863.0,32.0,404.0,85.4430693069307,46.37982689763516,552.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
52,52,3541295.0,3501479.0,32.0,2844.0,1245.181082981716,217.15959972299422,1294.0,66.0,40922.0,35812.0,32.0,365.0,112.11506849315069,179.2289816272254,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
53,53,3123822.0,3088682.0,0.0,2510.0,1244.5505976095617,217.90661865082043,1294.0,66.0,37264.0,32714.0,0.0,325.0,114.65846153846154,187.99516433413322,1274.0,75.0,0,0,0,6,1587346563,1587346804,2,1,0
54,54,2916646.0,2883788.0,64.0,2347.0,1242.7123988069877,219.7840157488573,1294.0,66.0,34522.0,30420.0,64.0,293.0,117.82252559726962,197.30600937528712,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
55,55,2310927.0,2284803.0,64.0,1866.0,1238.4389067524116,226.61167867708303,1294.0,66.0,30206.0,26790.0,64.0,244.0,123.79508196721312,213.63443337475798,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
56,56,1741331.0,1721563.0,64.0,1412.0,1233.237252124646,240.53434896401524,1294.0,66.0,26226.0,23524.0,64.0,193.0,135.8860103626943,238.74409622658007,1274.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
57,57,1385072.0,1369574.0,64.0,1107.0,1251.1942186088527,206.54409172731323,1294.0,66.0,12365.0,10363.0,64.0,143.0,86.46853146853147,42.979553472837914,328.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
58,58,1254063.0,1239923.0,64.0,1010.0,1241.6465346534653,229.21509810844196,1294.0,66.0,12130.0,10254.0,64.0,134.0,90.5223880597015,51.746038339658526,328.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
59,59,1081201.0,1068951.0,0.0,875.0,1235.6582857142857,236.11301126471153,1294.0,68.0,10098.0,8460.0,0.0,117.0,86.3076923076923,41.73409140346589,313.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
60,60,1693547.0,1674423.0,0.0,1366.0,1239.785505124451,228.3699256741502,1294.0,68.0,15197.0,12733.0,0.0,176.0,86.3465909090909,42.02609159488585,324.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
61,61,1328961.0,1313925.0,0.0,1074.0,1237.3938547486034,231.2113119269487,1294.0,68.0,11827.0,9881.0,0.0,139.0,85.0863309352518,38.90802325470061,324.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
62,62,1553649.0,1535925.0,0.0,1266.0,1227.2109004739336,250.65751243154008,1294.0,68.0,14262.0,11966.0,0.0,164.0,86.96341463414635,43.82057238272943,324.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
63,63,1770972.0,1750910.0,32.0,1433.0,1235.8492672714585,234.14156351817283,1294.0,66.0,15441.0,12865.0,32.0,184.0,83.91847826086956,34.481073666035556,324.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
64,64,1780917.0,1760813.0,32.0,1436.0,1240.192896935933,230.3201441030073,1294.0,66.0,15931.0,13355.0,32.0,184.0,86.58152173913044,42.07787663407145,324.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
65,65,1309978.0,1295194.0,32.0,1056.0,1240.5094696969697,230.15732824235292,1294.0,66.0,11782.0,9878.0,32.0,136.0,86.63235294117646,40.757859008223875,319.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
66,66,1561751.0,1544125.0,32.0,1259.0,1240.4694201747418,229.84695597572735,1294.0,66.0,14053.0,11827.0,32.0,159.0,88.38364779874213,52.27164157054691,542.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
67,67,1380298.0,1364870.0,32.0,1102.0,1252.5390199637025,204.43072616090902,1294.0,66.0,12174.0,10200.0,32.0,141.0,86.34042553191489,48.46258040085879,542.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
68,68,1499824.0,1482926.0,0.0,1207.0,1242.6048053024026,222.41951616247545,1294.0,66.0,13432.0,11304.0,0.0,152.0,88.36842105263158,53.36008317510659,542.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
69,69,1132078.0,1119296.0,32.0,913.0,1239.9539978094194,227.95291703648235,1294.0,66.0,10581.0,8873.0,32.0,122.0,86.72950819672131,51.648248646810075,542.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
70,70,1084418.0,1071916.0,64.0,893.0,1214.353863381859,270.6346656677783,1294.0,66.0,10721.0,9055.0,64.0,119.0,90.09243697478992,59.41210464286521,542.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
71,71,1059710.0,1047558.0,64.0,868.0,1220.8640552995391,260.4857257437986,1294.0,66.0,10266.0,8600.0,64.0,119.0,86.26890756302521,42.4318925320165,313.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
72,72,1224940.0,1210898.0,64.0,1003.0,1221.2761714855433,262.37841223484423,1294.0,66.0,11445.0,9653.0,64.0,128.0,89.4140625,49.7089226371493,313.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
73,73,1070479.0,1058327.0,64.0,868.0,1233.270737327189,244.93331965900404,1294.0,66.0,10185.0,8533.0,64.0,118.0,86.3135593220339,42.606735194583926,313.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
74,74,1320356.0,1305292.0,32.0,1076.0,1227.096654275093,251.22978186782777,1294.0,66.0,12714.0,10698.0,32.0,144.0,88.29166666666667,47.00323201062289,314.0,66.0,0,0,0,6,1587346563,1587346804,2,1,0
75,75,1385756.0,1370202.0,0.0,1111.0,1247.3051305130514,212.35662301471623,1294.0,68.0,12326.0,10296.0,0.0,145.0,85.00689655172414,38.56253256666133,314.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
76,76,1407904.0,1392014.0,0.0,1135.0,1240.4440528634361,226.32729448024185,1294.0,68.0,12480.0,10506.0,0.0,141.0,88.51063829787235,47.44352626754212,314.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
77,77,1215681.0,1201975.0,0.0,979.0,1241.7579162410623,221.31651225491376,1294.0,68.0,11368.0,9506.0,0.0,133.0,85.47368421052632,40.19904965535268,314.0,76.0,0,0,0,6,1587346563,1587346804,2,1,0
