,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,2436859.0,2411309.0,360.0,1825.0,1335.265205479452,259.98425414970745,1506.0,58.0,81202.0,74062.0,392.0,510.0,159.21960784313725,293.0022264652126,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
1,1,1608629.0,1591255.0,360.0,1241.0,1296.2360999194198,332.8089493915445,1506.0,58.0,77683.0,72139.0,392.0,396.0,196.16919191919192,344.0654068667429,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
2,2,437579.0,431839.0,360.0,410.0,1067.2658536585366,550.3897112045981,1506.0,58.0,74174.0,69386.0,392.0,342.0,216.8830409356725,367.05777913179026,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
3,3,186851.0,183841.0,392.0,215.0,869.0744186046512,618.7938711129801,1506.0,58.0,51199.0,48959.0,424.0,160.0,319.99375,458.7887789723474,1392.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
4,4,142409.0,140351.0,96.0,147.0,968.7687074829932,594.9272986856954,1392.0,58.0,21455.0,20181.0,96.0,91.0,235.76923076923077,393.4765607865598,1392.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
5,5,57765.0,56729.0,96.0,74.0,780.6081081081081,646.9533342452262,1392.0,58.0,21026.0,19836.0,96.0,85.0,247.36470588235295,404.6148160195824,1392.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
6,6,2075.0,1753.0,96.0,23.0,90.21739130434783,46.76672592842343,245.0,58.0,10757.0,10491.0,96.0,19.0,566.1578947368421,587.7309860058064,1392.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
7,7,308305.0,304959.0,96.0,239.0,1289.979079497908,346.5977428925817,1392.0,58.0,20440.0,19278.0,96.0,83.0,246.26506024096386,413.3943851757978,1392.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
8,8,314111.0,310275.0,64.0,274.0,1146.390510948905,505.9307070616629,1392.0,58.0,35461.0,33781.0,64.0,120.0,295.5083333333333,431.57125707182536,1392.0,69.0,1,1,0,31,1587788093,1587788274,2,1,0
9,9,317358.0,313396.0,0.0,283.0,1121.4063604240282,521.939391945213,1392.0,58.0,27399.0,25691.0,0.0,122.0,224.58196721311475,347.1778218761784,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
10,10,317134.0,313214.0,0.0,280.0,1132.6214285714286,513.2931419187445,1392.0,58.0,27329.0,25635.0,0.0,121.0,225.8595041322314,348.3237855785248,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
11,11,317134.0,313214.0,0.0,280.0,1132.6214285714286,513.2931419187445,1392.0,58.0,27329.0,25635.0,0.0,121.0,225.8595041322314,348.3237855785248,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
12,12,9890.0,9148.0,0.0,53.0,186.60377358490567,301.8678543588138,1392.0,58.0,16701.0,15987.0,0.0,51.0,327.47058823529414,406.8318221180458,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
13,13,3839.0,3601.0,0.0,17.0,225.8235294117647,337.6110249269848,1392.0,58.0,1614.0,1432.0,0.0,13.0,124.15384615384616,85.0021231896331,310.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
14,14,354.0,284.0,0.0,5.0,70.8,19.661129163911212,110.0,58.0,8537.0,8425.0,0.0,8.0,1067.125,532.0609545672376,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
15,15,354.0,284.0,0.0,5.0,70.8,19.661129163911212,110.0,58.0,8537.0,8425.0,0.0,8.0,1067.125,532.0609545672376,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
16,16,416.0,332.0,0.0,6.0,69.33333333333333,18.245242911205345,110.0,58.0,8602.0,8476.0,0.0,9.0,955.7777777777778,592.3007452633385,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
17,17,416.0,332.0,0.0,6.0,69.33333333333333,18.245242911205345,110.0,58.0,8602.0,8476.0,0.0,9.0,955.7777777777778,592.3007452633385,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
18,18,8387.0,8037.0,0.0,25.0,335.48,427.07349437772416,1392.0,58.0,14473.0,14053.0,0.0,30.0,482.43333333333334,564.8951338277062,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
19,19,17274.0,16756.0,0.0,37.0,466.86486486486484,544.8936500332917,1392.0,58.0,16096.0,15480.0,0.0,44.0,365.8181818181818,473.3069959304365,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
20,20,17274.0,16756.0,0.0,37.0,466.86486486486484,544.8936500332917,1392.0,58.0,16096.0,15480.0,0.0,44.0,365.8181818181818,473.3069959304365,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
21,21,17212.0,16708.0,0.0,36.0,478.1111111111111,548.1577113780394,1392.0,58.0,16134.0,15518.0,0.0,44.0,366.6818181818182,472.7916979700696,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
22,22,17212.0,16708.0,0.0,36.0,478.1111111111111,548.1577113780394,1392.0,58.0,16134.0,15518.0,0.0,44.0,366.6818181818182,472.7916979700696,1392.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
23,23,9303.0,9051.0,0.0,18.0,516.8333333333334,619.1183022833538,1392.0,62.0,10328.0,9992.0,0.0,24.0,430.3333333333333,505.58231003687445,1392.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
24,24,62.0,48.0,0.0,1.0,62.0,0.0,62.0,62.0,168.0,140.0,0.0,2.0,84.0,19.0,103.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
25,25,62.0,48.0,0.0,1.0,62.0,0.0,62.0,62.0,168.0,140.0,0.0,2.0,84.0,19.0,103.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
26,26,62.0,48.0,0.0,1.0,62.0,0.0,62.0,62.0,65.0,51.0,0.0,1.0,65.0,0.0,65.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
27,27,62.0,48.0,0.0,1.0,62.0,0.0,62.0,62.0,65.0,51.0,0.0,1.0,65.0,0.0,65.0,65.0,1,1,0,31,1587788093,1587788274,2,1,0
28,28,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1234.0,1192.0,0.0,3.0,411.3333333333333,416.017894914256,997.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
29,29,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1568.0,1498.0,0.0,5.0,313.6,343.7589853371109,997.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
30,30,562.0,478.0,104.0,6.0,93.66666666666667,31.308500798061576,149.0,58.0,2124.0,1984.0,136.0,10.0,212.4,268.6388653936731,997.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
31,31,562.0,478.0,104.0,6.0,93.66666666666667,31.308500798061576,149.0,58.0,2124.0,1984.0,136.0,10.0,212.4,268.6388653936731,997.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
32,32,562.0,478.0,104.0,6.0,93.66666666666667,31.308500798061576,149.0,58.0,2124.0,1984.0,136.0,10.0,212.4,268.6388653936731,997.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
33,33,394.0,338.0,104.0,4.0,98.5,32.592176975464525,149.0,66.0,890.0,792.0,136.0,7.0,127.14285714285714,68.50532528086218,261.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
34,34,394.0,338.0,104.0,4.0,98.5,32.592176975464525,149.0,66.0,556.0,486.0,136.0,5.0,111.2,75.36948984834646,261.0,66.0,1,1,0,31,1587788093,1587788274,2,1,0
35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,31,1587788093,1587788274,2,1,0
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,31,1587788093,1587788274,2,1,0
37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,31,1587788093,1587788274,2,1,0
38,38,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1236.0,1194.0,0.0,3.0,412.0,416.9564325761945,999.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
39,39,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1570.0,1500.0,0.0,5.0,314.0,344.5542047341753,999.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
40,40,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1570.0,1500.0,0.0,5.0,314.0,344.5542047341753,999.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
41,41,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1673.0,1589.0,0.0,6.0,278.8333333333333,324.2141353419922,999.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
42,42,168.0,140.0,0.0,2.0,84.0,26.0,110.0,58.0,1673.0,1589.0,0.0,6.0,278.8333333333333,324.2141353419922,999.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,395.0,0.0,3.0,145.66666666666666,30.169889330626027,167.0,103.0,1,1,0,31,1587788093,1587788274,2,1,0
44,44,648.0,522.0,0.0,9.0,72.0,7.438637868140466,81.0,62.0,1498.0,1372.0,0.0,9.0,166.44444444444446,79.45664242019895,237.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
45,45,648.0,522.0,0.0,9.0,72.0,7.438637868140466,81.0,62.0,1498.0,1372.0,0.0,9.0,166.44444444444446,79.45664242019895,237.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
46,46,648.0,522.0,0.0,9.0,72.0,7.438637868140466,81.0,62.0,1395.0,1283.0,0.0,8.0,174.375,80.84852735207983,237.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
47,47,648.0,522.0,0.0,9.0,72.0,7.438637868140466,81.0,62.0,1395.0,1283.0,0.0,8.0,174.375,80.84852735207983,237.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
48,48,648.0,522.0,0.0,9.0,72.0,7.438637868140466,81.0,62.0,1562.0,1436.0,0.0,9.0,173.55555555555554,76.25995178934734,237.0,70.0,1,1,0,31,1587788093,1587788274,2,1,0
49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,0,31,1587788093,1587788274,2,1,0
50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,0,31,1587788093,1587788274,2,1,0
