,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,1677280.0,1658016.0,2756.0,1376.0,1218.953488372093,289.16176346977056,1454.0,66.0,50121.0,46439.0,2136.0,263.0,190.574144486692,319.6400798152011,1274.0,54.0,0,0,0,9,1587299236,1587299358,3,1,0
1,1,2550521.0,2521807.0,6276.0,2051.0,1243.549975621648,259.76781218886595,1454.0,66.0,58765.0,53543.0,3512.0,373.0,157.54691689008044,273.7622715256245,1274.0,54.0,0,0,0,9,1587299236,1587299358,3,1,0
2,2,4325824.0,4277944.0,13508.0,3420.0,1264.8608187134503,227.86423303964338,1454.0,66.0,79377.0,71467.0,5688.0,565.0,140.49026548672566,245.39344314923636,1274.0,54.0,0,0,0,9,1587299236,1587299358,3,1,0
3,3,5584519.0,5523059.0,20452.0,4390.0,1272.1,221.15710157331551,1454.0,66.0,93015.0,82949.0,7672.0,719.0,129.3671766342142,225.21037936271097,1274.0,54.0,0,0,0,9,1587299236,1587299358,3,1,0
4,4,6026350.0,5960438.0,23400.0,4708.0,1280.0233644859813,207.02916785926595,1454.0,66.0,87146.0,76912.0,7884.0,731.0,119.21477428180575,206.9442164651359,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
5,5,5869802.0,5805906.0,26656.0,4564.0,1286.1091148115688,205.9597856802295,1454.0,66.0,77035.0,66983.0,8480.0,718.0,107.29108635097494,173.88098322482566,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
6,6,5994208.0,5928926.0,28384.0,4663.0,1285.483165344199,210.47517516976893,1454.0,66.0,77802.0,67666.0,8620.0,724.0,107.46132596685082,173.4138294344652,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
7,7,5034622.0,4979994.0,27712.0,3902.0,1290.267042542286,212.69174527678652,1454.0,66.0,59468.0,50816.0,7788.0,618.0,96.22653721682848,133.97964080465755,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
8,8,4300458.0,4253866.0,25632.0,3328.0,1292.2049278846155,216.32464685350317,1454.0,66.0,52308.0,44552.0,7692.0,554.0,94.4187725631769,122.68998267893322,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
9,9,3779160.0,3738392.0,28576.0,2912.0,1297.7884615384614,230.50515602644555,1454.0,66.0,50777.0,43357.0,8396.0,530.0,95.80566037735849,126.20340711708273,1274.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
10,10,3580010.0,3541622.0,28480.0,2742.0,1305.619985412108,219.62390107403093,1454.0,66.0,40147.0,33385.0,7948.0,483.0,83.12008281573499,47.425457150294996,346.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
11,11,3494547.0,3456775.0,24160.0,2698.0,1295.236100815419,226.10562601483377,1454.0,66.0,39804.0,33336.0,6720.0,462.0,86.15584415584415,52.44561766407361,346.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
12,12,3238537.0,3203089.0,17600.0,2532.0,1279.0430489731439,236.9202196623551,1454.0,66.0,37154.0,31260.0,5376.0,421.0,88.25178147268409,55.76229051199963,347.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
13,13,3417046.0,3379386.0,12672.0,2690.0,1270.2773234200743,227.07861593049722,1454.0,66.0,34992.0,29490.0,3424.0,393.0,89.0381679389313,54.71611741562534,347.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
14,14,2881716.0,2849824.0,6144.0,2278.0,1265.0201931518877,212.36914069336652,1454.0,66.0,28121.0,23683.0,2016.0,317.0,88.70977917981072,52.803824175766934,347.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
15,15,2178062.0,2153716.0,928.0,1739.0,1252.4795859689477,209.51738407496356,1454.0,66.0,19665.0,16655.0,288.0,215.0,91.46511627906976,54.440643519772465,347.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
16,16,1265878.0,1251752.0,0.0,1009.0,1254.5867195242815,195.6493917739789,1294.0,66.0,10597.0,8917.0,0.0,120.0,88.30833333333334,47.719806480701024,347.0,76.0,0,0,0,9,1587299236,1587299358,3,1,0
17,17,703275.0,695477.0,0.0,557.0,1262.6122082585277,174.39001789918893,1294.0,67.0,5625.0,4701.0,0.0,66.0,85.22727272727273,39.142240786318105,309.0,76.0,0,0,0,9,1587299236,1587299358,3,1,0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
20,20,158.0,130.0,64.0,2.0,79.0,13.0,92.0,66.0,279.0,237.0,96.0,3.0,93.0,21.64871050817269,119.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
21,21,158.0,130.0,64.0,2.0,79.0,13.0,92.0,66.0,279.0,237.0,96.0,3.0,93.0,21.64871050817269,119.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
22,22,158.0,130.0,64.0,2.0,79.0,13.0,92.0,66.0,279.0,237.0,96.0,3.0,93.0,21.64871050817269,119.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
23,23,158.0,130.0,64.0,2.0,79.0,13.0,92.0,66.0,279.0,237.0,96.0,3.0,93.0,21.64871050817269,119.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
24,24,158.0,130.0,64.0,2.0,79.0,13.0,92.0,66.0,279.0,237.0,96.0,3.0,93.0,21.64871050817269,119.0,66.0,0,0,0,9,1587299236,1587299358,3,1,0
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1587299236,1587299358,3,1,0
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,1.0,103.0,0.0,103.0,103.0,0,0,0,9,1587299236,1587299358,3,1,0
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,1.0,103.0,0.0,103.0,103.0,0,0,0,9,1587299236,1587299358,3,1,0
32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,1.0,103.0,0.0,103.0,103.0,0,0,0,9,1587299236,1587299358,3,1,0
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,1.0,103.0,0.0,103.0,103.0,0,0,0,9,1587299236,1587299358,3,1,0
34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,1.0,103.0,0.0,103.0,103.0,0,0,0,9,1587299236,1587299358,3,1,0
35,35,66.0,52.0,32.0,1.0,66.0,0.0,66.0,66.0,119.0,105.0,32.0,1.0,119.0,0.0,119.0,119.0,0,0,0,9,1587299236,1587299358,3,1,0
36,36,66.0,52.0,32.0,1.0,66.0,0.0,66.0,66.0,119.0,105.0,32.0,1.0,119.0,0.0,119.0,119.0,0,0,0,9,1587299236,1587299358,3,1,0
