,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,2361801.0,2336503.0,328.0,1807.0,1307.0287769784172,314.58289467540334,1392.0,58.0,93177.0,84245.0,308.0,638.0,146.04545454545453,260.20744582310476,1434.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
1,1,3072922.0,3040442.0,328.0,2320.0,1324.5353448275862,282.2797578321507,1392.0,58.0,104010.0,92936.0,308.0,791.0,131.49178255372945,234.24570743034027,1434.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
2,2,3173055.0,3139567.0,328.0,2392.0,1326.5280100334448,278.3136750571183,1392.0,58.0,105120.0,93962.0,308.0,797.0,131.89460476787954,234.4537182066625,1434.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
3,3,5110115.0,5057321.0,0.0,3771.0,1355.1087244762662,211.9791630927713,1392.0,58.0,122313.0,107361.0,0.0,1068.0,114.5252808988764,187.39688879531735,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
4,4,5678938.0,5620852.0,0.0,4149.0,1368.7486141238853,169.89666432763784,1392.0,58.0,120626.0,102706.0,0.0,1280.0,94.2390625,120.45464280849077,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
5,5,5715218.0,5657286.0,0.0,4138.0,1381.154664088932,118.17841593534621,1392.0,58.0,96050.0,81196.0,0.0,1061.0,90.52780395852969,102.12415255530742,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
6,6,6407282.0,6342406.0,0.0,4634.0,1382.6676737160121,110.00697217430287,1392.0,58.0,106923.0,90193.0,0.0,1195.0,89.47531380753138,96.40129698322512,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
7,7,7652113.0,7574623.0,0.0,5535.0,1382.4955736224028,111.14955349200972,1392.0,58.0,133269.0,112115.0,0.0,1511.0,88.19920582395764,89.35552410633045,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
8,8,6862781.0,6793313.0,0.0,4962.0,1383.0675130995567,107.56206684104777,1392.0,58.0,115373.0,97033.0,0.0,1310.0,88.07099236641221,97.69330572247351,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
9,9,6953425.0,6883019.0,0.0,5029.0,1382.6655398687612,109.91818884889294,1392.0,58.0,118482.0,100002.0,0.0,1320.0,89.75909090909092,100.54287262425511,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
10,10,6995870.0,6925170.0,0.0,5050.0,1385.3207920792079,92.81437273133523,1392.0,58.0,108878.0,90524.0,0.0,1311.0,83.04958047292143,50.4445816505777,995.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
11,11,6928821.0,6858569.0,0.0,5018.0,1380.7933439617377,120.45662482845616,1392.0,58.0,107033.0,89645.0,0.0,1242.0,86.1779388083736,53.030554158281426,995.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
12,12,6857010.0,6787444.0,0.0,4969.0,1379.9577379754478,124.46682839816502,1392.0,58.0,106233.0,89223.0,0.0,1215.0,87.43456790123457,49.843149437018376,995.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
13,13,6319387.0,6255225.0,0.0,4583.0,1378.8756273183503,130.15775277808712,1392.0,58.0,103321.0,86871.0,0.0,1175.0,87.9327659574468,50.62280781498477,995.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
14,14,6287477.0,6223609.0,0.0,4562.0,1378.2281893906181,133.4538372134645,1392.0,62.0,100426.0,84046.0,0.0,1170.0,85.83418803418803,42.9865396590849,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
15,15,6399247.0,6334175.0,0.0,4648.0,1376.7743115318417,140.33259013761756,1392.0,62.0,101935.0,85373.0,0.0,1183.0,86.1665257819104,42.74582522680245,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
16,16,5470720.0,5415224.0,0.0,3964.0,1380.100908173562,123.6926605651353,1392.0,62.0,91087.0,75757.0,0.0,1095.0,83.18447488584475,42.67747511578563,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
17,17,4298348.0,4254766.0,0.0,3113.0,1380.7735303565692,119.67979462254048,1392.0,62.0,66296.0,54998.0,0.0,807.0,82.15117719950433,49.26497603943013,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
18,18,3677453.0,3640129.0,0.0,2666.0,1379.3897224306077,126.69028824926615,1392.0,62.0,61079.0,50523.0,0.0,754.0,81.00663129973475,36.061599355385006,755.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
19,19,3990647.0,3950187.0,0.0,2890.0,1380.8467128027683,118.952159692133,1392.0,58.0,56722.0,47384.0,0.0,667.0,85.04047976011994,64.61148921283709,996.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
20,20,3773072.0,3734894.0,0.0,2727.0,1383.5980931426475,102.55986742551018,1392.0,58.0,54205.0,45469.0,0.0,624.0,86.86698717948718,67.44843661984594,996.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
21,21,4752263.0,4704159.0,0.0,3436.0,1383.0800349243307,106.53126059979445,1392.0,58.0,68519.0,57655.0,0.0,776.0,88.29768041237114,60.445406865322354,996.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
22,22,4992923.0,4942369.0,0.0,3611.0,1382.6981445582942,109.1458149036667,1392.0,58.0,71899.0,60293.0,0.0,829.0,86.729794933655,53.80384193152425,996.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
23,23,4992923.0,4942369.0,0.0,3611.0,1382.6981445582942,109.1458149036667,1392.0,58.0,71899.0,60293.0,0.0,829.0,86.729794933655,53.80384193152425,996.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
24,24,4708480.0,4660880.0,0.0,3400.0,1384.8470588235293,95.50456790829159,1392.0,62.0,56443.0,47077.0,0.0,669.0,84.36920777279522,40.11988398167073,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
25,25,4984290.0,4933890.0,0.0,3600.0,1384.525,97.74223150432186,1392.0,62.0,64243.0,53757.0,0.0,749.0,85.7716955941255,37.20372879847944,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
26,26,4118151.0,4076529.0,0.0,2973.0,1385.183652875883,93.07798618426914,1392.0,62.0,48299.0,40263.0,0.0,574.0,84.14459930313589,42.36474682998073,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
27,27,4745328.0,4697420.0,0.0,3422.0,1386.7118644067796,82.17906404671169,1392.0,63.0,51581.0,42859.0,0.0,623.0,82.79454253611557,40.85647472798443,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
28,28,4745328.0,4697420.0,0.0,3422.0,1386.7118644067796,82.17906404671169,1392.0,63.0,51684.0,42948.0,0.0,624.0,82.82692307692308,40.83172369326715,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
29,29,3917313.0,3877721.0,0.0,2828.0,1385.1884724186705,92.93914935263118,1392.0,58.0,50470.0,42280.0,0.0,585.0,86.27350427350427,63.36984425753579,997.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
30,30,3876804.0,3837632.0,0.0,2798.0,1385.5625446747677,90.31228593185185,1392.0,58.0,49024.0,41086.0,0.0,567.0,86.4620811287478,65.10134461050488,997.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
31,31,4428044.0,4383328.0,0.0,3194.0,1386.3631809643082,84.55029054479326,1392.0,58.0,55539.0,46383.0,0.0,654.0,84.92201834862385,60.49663249070365,997.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
32,32,4053455.0,4012533.0,0.0,2923.0,1386.744782757441,81.29828254707068,1392.0,58.0,51241.0,42925.0,0.0,594.0,86.26430976430976,63.31593997427983,997.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
33,33,4053455.0,4012533.0,0.0,2923.0,1386.744782757441,81.29828254707068,1392.0,58.0,51138.0,42836.0,0.0,593.0,86.23608768971332,63.36557052026161,997.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
34,34,3423854.0,3389316.0,0.0,2467.0,1387.8613700851236,71.78951970354696,1392.0,63.0,45215.0,37613.0,0.0,543.0,83.26887661141805,32.585197692859715,756.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
35,35,3336313.0,3302629.0,0.0,2406.0,1386.663757273483,81.91575914229178,1392.0,63.0,37249.0,30837.0,0.0,458.0,81.32969432314411,46.40916413411349,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
36,36,3353525.0,3319575.0,0.0,2425.0,1382.8969072164948,107.75654543097693,1392.0,62.0,33507.0,27963.0,0.0,396.0,84.61363636363636,53.29562792071905,779.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
37,37,4187014.0,4144650.0,0.0,3026.0,1383.6794448116325,104.34544518293747,1392.0,62.0,40888.0,34140.0,0.0,482.0,84.8298755186722,57.47610092893223,779.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
38,38,5620488.0,5563522.0,0.0,4069.0,1381.2946669943476,118.03936063741115,1392.0,62.0,71316.0,60116.0,0.0,800.0,89.145,47.43555075046563,779.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
39,39,5620488.0,5563522.0,0.0,4069.0,1381.2946669943476,118.03936063741115,1392.0,62.0,71316.0,60116.0,0.0,800.0,89.145,47.43555075046563,779.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
40,40,4999458.0,4948806.0,0.0,3618.0,1381.8291873963515,114.95249389838384,1392.0,62.0,60319.0,50869.0,0.0,675.0,89.36148148148148,51.432513113910936,779.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
41,41,5294401.0,5240823.0,0.0,3827.0,1383.4337601254247,105.40308975334182,1392.0,62.0,68264.0,57988.0,0.0,734.0,93.00272479564033,49.238976754320824,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
42,42,5293554.0,5239948.0,0.0,3829.0,1382.4899451553931,110.52241253579017,1392.0,62.0,78823.0,67329.0,0.0,821.0,96.00852618757612,43.16174915258536,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
43,43,5247866.0,5194792.0,0.0,3791.0,1384.2959641255604,99.03465993898324,1392.0,62.0,76740.0,65848.0,0.0,778.0,98.63753213367609,46.370944609047406,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
44,44,5247928.0,5194840.0,0.0,3792.0,1383.9472573839662,101.3225015873626,1392.0,62.0,76805.0,65899.0,0.0,779.0,98.59435173299102,46.35682078517561,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
45,45,4370720.0,4326480.0,0.0,3160.0,1383.139240506329,106.29634764879648,1392.0,62.0,70724.0,60868.0,0.0,704.0,100.46022727272727,40.493912392573755,756.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
46,46,2884984.0,2855766.0,0.0,2087.0,1382.3593675131767,110.49669295496697,1392.0,62.0,51648.0,44522.0,0.0,509.0,101.46954813359528,44.821514138394434,756.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
47,47,1836891.0,1818243.0,0.0,1332.0,1379.0472972972973,127.37034867237989,1392.0,62.0,34594.0,29988.0,0.0,329.0,105.14893617021276,72.2918288405083,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
48,48,1931643.0,1912141.0,0.0,1393.0,1386.678391959799,81.55100896740817,1392.0,62.0,24660.0,20782.0,0.0,277.0,89.02527075812274,72.97620459575201,779.0,65.0,1,1,1,36,1587817369,1587817551,3,1,0
49,49,3426901.0,3392307.0,0.0,2471.0,1386.847834884662,81.1936017526457,1392.0,63.0,40662.0,33928.0,0.0,481.0,84.53638253638253,55.837632398800366,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
50,50,4818472.0,4769738.0,0.0,3481.0,1384.2206262568227,100.04428573973638,1392.0,63.0,60282.0,50706.0,0.0,684.0,88.13157894736842,49.392540305776976,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
51,51,4818472.0,4769738.0,0.0,3481.0,1384.2206262568227,100.04428573973638,1392.0,63.0,59781.0,50247.0,0.0,681.0,87.78414096916299,49.22243063895321,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
52,52,4369429.0,4325259.0,0.0,3155.0,1384.922028526149,96.0755296167069,1392.0,63.0,54098.0,45264.0,0.0,631.0,85.7337559429477,19.203442927838484,164.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
53,53,2886891.0,2857645.0,0.0,2089.0,1381.9487793202488,114.32920796064833,1392.0,63.0,35687.0,29975.0,0.0,408.0,87.46813725490196,21.786935383227394,164.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
54,54,1391571.0,1377431.0,0.0,1010.0,1377.7930693069306,135.311279382774,1392.0,64.0,19620.0,16778.0,0.0,203.0,96.65024630541872,27.007768220908385,164.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
56,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,1,36,1587817369,1587817551,3,1,0
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,1,36,1587817369,1587817551,3,1,0
58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,1,36,1587817369,1587817551,3,1,0
59,59,946584.0,936952.0,128.0,688.0,1375.8488372093022,142.94118911342363,1392.0,64.0,6762.0,5908.0,76.0,61.0,110.85245901639344,151.06353413849504,787.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
60,60,2444769.0,2419989.0,128.0,1770.0,1381.2254237288137,117.7760180473102,1392.0,64.0,24424.0,20672.0,76.0,268.0,91.13432835820896,73.9384365783682,787.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
61,61,3862861.0,3823521.0,128.0,2810.0,1374.6836298932385,148.09945411287666,1392.0,60.0,41286.0,35266.0,76.0,430.0,96.0139534883721,109.1122306392258,1392.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
62,62,4856813.0,4807463.0,128.0,3525.0,1377.819290780142,134.24896939602246,1392.0,60.0,46519.0,39491.0,76.0,502.0,92.66733067729083,101.32307450299392,1392.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
63,63,5637696.0,5580464.0,128.0,4088.0,1379.0841487279843,128.125342873712,1392.0,60.0,50250.0,42494.0,76.0,554.0,90.70397111913357,96.64641584363876,1392.0,66.0,1,1,1,36,1587817369,1587817551,3,1,0
64,64,4691112.0,4643512.0,0.0,3400.0,1379.7388235294118,124.90352756674216,1392.0,60.0,43989.0,37045.0,0.0,496.0,88.6875,87.22080529327887,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
65,65,3192927.0,3160475.0,0.0,2318.0,1377.4490940465919,135.47397301859598,1392.0,60.0,26327.0,22281.0,0.0,289.0,91.09688581314879,113.55981438690819,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
66,66,1774835.0,1756943.0,0.0,1278.0,1388.7597809076683,64.41006669988602,1392.0,64.0,9465.0,7687.0,0.0,127.0,74.5275590551181,14.68934306065452,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
67,67,780883.0,773001.0,0.0,563.0,1387.0035523978686,79.27022821664521,1392.0,64.0,4232.0,3462.0,0.0,55.0,76.94545454545455,21.76520841895756,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
68,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,548.0,0.0,4.0,151.0,27.712812921102035,167.0,103.0,1,1,1,36,1587817369,1587817551,3,1,0
69,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,548.0,0.0,4.0,151.0,27.712812921102035,167.0,103.0,1,1,1,36,1587817369,1587817551,3,1,0
70,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,548.0,0.0,4.0,151.0,27.712812921102035,167.0,103.0,1,1,1,36,1587817369,1587817551,3,1,0
71,71,872273.0,863481.0,0.0,628.0,1388.96974522293,55.07439128210427,1392.0,217.0,5458.0,4674.0,0.0,56.0,97.46428571428571,129.7197479576802,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
72,72,2359057.0,2335285.0,0.0,1698.0,1389.3150765606597,56.52655251305027,1392.0,64.0,11517.0,9585.0,0.0,138.0,83.45652173913044,83.55421043044643,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
73,73,3856929.0,3818051.0,0.0,2777.0,1388.883327331653,62.078940179805265,1392.0,64.0,23547.0,19557.0,0.0,285.0,82.62105263157895,59.054511650342064,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
74,74,5352134.0,5298178.0,0.0,3854.0,1388.7218474312403,64.36195128597662,1392.0,64.0,53817.0,45963.0,0.0,561.0,95.93048128342247,48.93395251803729,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
75,75,6128508.0,6066712.0,0.0,4414.0,1388.4250113275941,66.83557972013732,1392.0,64.0,64207.0,54785.0,0.0,673.0,95.40416047548291,45.40823688216607,779.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
76,76,5256235.0,5203231.0,0.0,3786.0,1388.3346539883782,68.59131784433809,1392.0,64.0,59353.0,50659.0,0.0,621.0,95.57648953301127,27.23192029006902,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
77,77,3769451.0,3731427.0,0.0,2716.0,1387.868556701031,72.53456865863483,1392.0,64.0,53294.0,45748.0,0.0,539.0,98.8756957328386,27.697165404689542,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
78,78,2271579.0,2248661.0,0.0,1637.0,1387.6475259621259,74.20420248716613,1392.0,64.0,41161.0,35687.0,0.0,391.0,105.27109974424552,28.80773479835854,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
79,79,776374.0,768534.0,0.0,560.0,1386.3821428571428,81.82728131153286,1392.0,64.0,10891.0,9281.0,0.0,115.0,94.70434782608696,22.745844881148688,167.0,71.0,1,1,1,36,1587817369,1587817551,3,1,0
80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,459.0,0.0,3.0,167.0,0.0,167.0,167.0,1,1,1,36,1587817369,1587817551,3,1,0
81,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
82,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
83,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
84,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
85,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,36,1587817369,1587817551,3,1,0
86,86,591.0,479.0,0.0,8.0,73.875,13.605490619599133,99.0,62.0,2002.0,1834.0,0.0,12.0,166.83333333333334,74.6110283775499,246.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
87,87,591.0,479.0,0.0,8.0,73.875,13.605490619599133,99.0,62.0,2002.0,1834.0,0.0,12.0,166.83333333333334,74.6110283775499,246.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
88,88,2796.0,2586.0,0.0,15.0,186.4,335.7081669148568,1392.0,62.0,8857.0,8563.0,0.0,21.0,421.76190476190476,494.0913646725582,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
89,89,2796.0,2586.0,0.0,15.0,186.4,335.7081669148568,1392.0,62.0,8857.0,8563.0,0.0,21.0,421.76190476190476,494.0913646725582,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
90,90,870865.0,861891.0,0.0,641.0,1358.603744149766,203.78261241260688,1392.0,62.0,14832.0,13782.0,0.0,75.0,197.76,325.48232271507464,1392.0,70.0,1,1,1,36,1587817369,1587817551,3,1,0
