,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,440673.0,435255.0,0.0,387.0,1138.6899224806202,496.86719012944064,1392.0,58.0,54400.0,51264.0,0.0,224.0,242.85714285714286,390.9267687437228,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
1,1,1237251.0,1223755.0,0.0,964.0,1283.4553941908714,349.489311897594,1392.0,58.0,64286.0,60548.0,0.0,267.0,240.77153558052436,388.95089406154466,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
2,2,2269079.0,2245013.0,0.0,1719.0,1319.999418266434,290.15880288165295,1392.0,58.0,67685.0,63289.0,0.0,314.0,215.55732484076432,363.6639077454143,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
3,3,3003776.0,2972542.0,0.0,2231.0,1346.3809950694756,233.27083017931403,1392.0,58.0,57448.0,52926.0,0.0,323.0,177.85758513931887,315.478218002126,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
4,4,3253860.0,3220554.0,168.0,2379.0,1367.7427490542245,173.39407449614475,1392.0,58.0,28083.0,25129.0,168.0,211.0,133.09478672985782,225.26820354263089,1392.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
5,5,4259139.0,4215879.0,168.0,3090.0,1378.36213592233,130.56377599437883,1392.0,58.0,23247.0,20447.0,168.0,200.0,116.235,199.7564261169087,1392.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
6,6,4044987.0,4003925.0,168.0,2933.0,1379.129560177293,126.02592664155178,1392.0,58.0,14270.0,11890.0,168.0,170.0,83.94117647058823,81.1885753975675,806.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
7,7,4044985.0,4004049.0,168.0,2924.0,1383.373803009576,103.044006034581,1392.0,58.0,20273.0,18145.0,168.0,152.0,133.375,250.94096109234013,1392.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
8,8,4091801.0,4050417.0,168.0,2956.0,1384.2357916102842,98.07194180308807,1392.0,58.0,20314.0,18186.0,168.0,152.0,133.64473684210526,250.87949004438514,1392.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
9,9,4381018.0,4336806.0,0.0,3158.0,1387.2761241291958,76.52378011633388,1392.0,58.0,19566.0,17396.0,0.0,155.0,126.23225806451613,244.080177714139,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
10,10,3662958.0,3625914.0,0.0,2646.0,1384.3378684807255,97.9551433459636,1392.0,58.0,18075.0,16437.0,0.0,117.0,154.48717948717947,291.2415397071974,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
11,11,4288902.0,4245572.0,0.0,3095.0,1385.751857835218,88.98504970875508,1392.0,58.0,20468.0,18368.0,0.0,150.0,136.45333333333335,259.45562463657546,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
12,12,3725938.0,3688334.0,0.0,2686.0,1387.169769173492,76.92479860763594,1392.0,58.0,11495.0,9717.0,0.0,127.0,90.51181102362204,114.92550590597293,891.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
13,13,4146239.0,4103959.0,0.0,3020.0,1372.926821192053,154.8673699032695,1392.0,58.0,19899.0,17673.0,0.0,159.0,125.15094339622641,207.44802148636379,1392.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
14,14,4053883.0,4012415.0,208.0,2962.0,1368.6303173531398,171.39851549318806,1392.0,60.0,19415.0,17189.0,240.0,159.0,122.10691823899371,199.062001377434,1392.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
15,15,4915908.0,4865830.0,240.0,3577.0,1374.3103159071848,149.7844780530535,1392.0,60.0,20738.0,18008.0,272.0,195.0,106.34871794871795,167.01445181103628,1392.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
16,16,4400786.0,4355874.0,240.0,3208.0,1371.81608478803,159.8461244662054,1392.0,60.0,21378.0,18956.0,272.0,173.0,123.57225433526011,198.4566513553333,1392.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
17,17,4273620.0,4229968.0,240.0,3118.0,1370.628608082104,163.9570102059965,1392.0,60.0,21659.0,19181.0,272.0,177.0,122.36723163841808,196.3612940380333,1392.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
18,18,4304327.0,4260815.0,240.0,3108.0,1384.9185971685972,94.08652539875158,1392.0,62.0,11940.0,10162.0,272.0,127.0,94.01574803149606,113.67421221918825,816.0,65.0,1,1,1,9,1587341409,1587341650,1,1,0
19,19,4672237.0,4625155.0,32.0,3363.0,1389.3062741599763,56.60669336268284,1392.0,58.0,13287.0,11341.0,32.0,139.0,95.58992805755396,126.3474604488168,892.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
20,20,4722283.0,4674711.0,0.0,3398.0,1389.7242495585638,51.53514039048133,1392.0,58.0,12939.0,11035.0,0.0,136.0,95.13970588235294,127.35702322455319,892.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
21,21,5141068.0,5089296.0,0.0,3698.0,1390.229313142239,44.47571375141773,1392.0,58.0,11633.0,9547.0,0.0,149.0,78.0738255033557,66.98302839838773,892.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
22,22,5559468.0,5503496.0,0.0,3998.0,1390.5622811405703,42.008342605049435,1392.0,58.0,13402.0,10980.0,0.0,173.0,77.46820809248555,62.20194015637144,892.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
23,23,4802489.0,4754077.0,0.0,3458.0,1388.8053788316947,61.348293186605424,1392.0,58.0,14964.0,12514.0,0.0,175.0,85.50857142857143,98.34265858699969,892.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
24,24,4461551.0,4416457.0,272.0,3221.0,1385.1446755665943,91.79280047102243,1392.0,64.0,13871.0,11533.0,324.0,167.0,83.05988023952096,81.53370418024026,808.0,54.0,1,1,1,9,1587341409,1587341650,1,1,0
25,25,4411569.0,4366951.0,304.0,3187.0,1384.2387825541261,98.02111874302835,1392.0,64.0,13650.0,11382.0,356.0,162.0,84.25925925925925,83.28454538920094,808.0,54.0,1,1,1,9,1587341409,1587341650,1,1,0
26,26,4464380.0,4419244.0,304.0,3224.0,1384.7332506203475,94.66174041221824,1392.0,64.0,12899.0,10785.0,356.0,151.0,85.42384105960265,86.16366969117689,808.0,54.0,1,1,1,9,1587341409,1587341650,1,1,0
27,27,4592380.0,4545970.0,304.0,3315.0,1385.3333333333333,90.4973565552563,1392.0,64.0,12530.0,10486.0,356.0,146.0,85.82191780821918,87.58844335881672,808.0,54.0,1,1,1,9,1587341409,1587341650,1,1,0
28,28,4687292.0,4639874.0,304.0,3387.0,1383.9067020962505,100.37599893719721,1392.0,62.0,16901.0,14871.0,356.0,145.0,116.55862068965517,206.7090867949804,1392.0,54.0,1,1,1,9,1587341409,1587341650,1,1,0
29,29,4566127.0,4520011.0,32.0,3294.0,1386.1952034001215,83.77291616483632,1392.0,58.0,16383.0,14549.0,32.0,131.0,125.06106870229007,226.37403202992127,1392.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
30,30,3231069.0,3198407.0,0.0,2333.0,1384.941705957994,91.63437679561216,1392.0,58.0,13593.0,12263.0,0.0,95.0,143.0842105263158,263.2515972124444,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
31,31,2066225.0,2045281.0,0.0,1496.0,1381.1664438502673,114.06127433003853,1392.0,58.0,11605.0,10653.0,0.0,68.0,170.66176470588235,306.81722909164347,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
32,32,2263889.0,2240957.0,0.0,1638.0,1382.1056166056167,109.0477786434084,1392.0,58.0,16119.0,14355.0,0.0,126.0,127.92857142857143,230.10443379803604,1392.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
33,33,2817141.0,2788749.0,0.0,2028.0,1389.1227810650887,57.22847057140532,1392.0,58.0,10842.0,8966.0,0.0,134.0,80.91044776119404,70.69077740587714,895.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
34,34,2846552.0,2817782.0,240.0,2055.0,1385.1834549878345,92.17898023842213,1392.0,64.0,12419.0,10431.0,272.0,142.0,87.45774647887323,87.98316286105153,808.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
35,35,3185929.0,3153701.0,272.0,2302.0,1383.983058210252,98.80151569921094,1392.0,64.0,13600.0,11416.0,304.0,156.0,87.17948717948718,84.55422226181916,808.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
36,36,4332937.0,4289173.0,272.0,3126.0,1386.0962891874601,84.85907933247339,1392.0,64.0,16833.0,14033.0,304.0,200.0,84.165,74.93862672213844,808.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
37,37,3513765.0,3478219.0,272.0,2539.0,1383.9168964159119,98.7494501510634,1392.0,64.0,10857.0,9149.0,304.0,122.0,88.99180327868852,95.59798817260658,808.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
38,38,2839569.0,2810673.0,272.0,2064.0,1375.7601744186047,142.37790956105985,1392.0,62.0,11370.0,9718.0,304.0,118.0,96.35593220338983,101.45154353260448,808.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
39,39,2407898.0,2383482.0,32.0,1744.0,1380.6754587155963,118.91464517918865,1392.0,62.0,8785.0,7287.0,32.0,107.0,82.10280373831776,36.62615749296941,236.0,66.0,1,1,1,9,1587341409,1587341650,1,1,0
40,40,2866137.0,2837157.0,0.0,2070.0,1384.6072463768116,97.57733880845133,1392.0,62.0,8905.0,7351.0,0.0,111.0,80.22522522522523,34.07429209398237,236.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
41,41,2283551.0,2260367.0,0.0,1656.0,1378.9559178743962,127.46188637022465,1392.0,62.0,7998.0,6892.0,0.0,79.0,101.24050632911393,119.01496716745424,808.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
42,42,2822017.0,2793429.0,0.0,2042.0,1381.986777668952,111.77344478610354,1392.0,62.0,8729.0,7483.0,0.0,89.0,98.07865168539325,112.48912304163647,808.0,70.0,1,1,1,9,1587341409,1587341650,1,1,0
