,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,1697187.0,1677783.0,96.0,1386.0,1224.521645021645,263.9922052866864,1294.0,66.0,34559.0,30947.0,96.0,258.0,133.9496124031008,186.33588852543397,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
1,1,2524112.0,2495412.0,128.0,2050.0,1231.2741463414634,249.63587915373185,1294.0,66.0,42208.0,37420.0,128.0,342.0,123.41520467836257,166.45288957293693,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
2,2,4171452.0,4124384.0,128.0,3362.0,1240.76502082094,231.9777717910284,1294.0,65.0,83208.0,75606.0,128.0,543.0,153.23756906077347,253.49940648017943,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
3,3,4841478.0,4786850.0,128.0,3902.0,1240.7683239364428,231.7871791171488,1294.0,65.0,86396.0,77996.0,128.0,600.0,143.99333333333334,235.7751116824863,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
4,4,5184996.0,5126812.0,192.0,4156.0,1247.5928777670838,216.4054479203355,1294.0,65.0,89012.0,80332.0,192.0,620.0,143.56774193548387,240.9608392585639,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
5,5,5028569.0,4972331.0,160.0,4017.0,1251.822006472492,207.5441710964043,1294.0,65.0,92514.0,84940.0,160.0,541.0,171.00554528650648,301.9111674303509,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
6,6,5186461.0,5128431.0,128.0,4145.0,1251.2571773220748,207.77278803365894,1294.0,65.0,93938.0,86266.0,128.0,548.0,171.41970802919707,300.5198278165081,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
7,7,4585455.0,4533809.0,128.0,3689.0,1243.0075901328273,228.1107242494607,1294.0,65.0,71168.0,64294.0,128.0,491.0,144.9450101832994,249.66369850841772,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
8,8,5078276.0,5021618.0,64.0,4047.0,1254.8248085001235,201.02834268135524,1294.0,65.0,73663.0,66313.0,64.0,525.0,140.31047619047618,241.78483308366768,1274.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
9,9,5270034.0,5211570.0,0.0,4176.0,1261.9813218390805,182.88317548965497,1294.0,65.0,67019.0,59557.0,0.0,533.0,125.73921200750469,207.85783472554013,1274.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
10,10,5550301.0,5488981.0,0.0,4380.0,1267.19200913242,167.5105023084661,1294.0,66.0,58254.0,50134.0,0.0,580.0,100.43793103448276,115.87254268135965,1274.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
11,11,5964523.0,5898821.0,0.0,4693.0,1270.9403366716385,158.8028455856243,1294.0,66.0,61313.0,52563.0,0.0,625.0,98.1008,109.28870133440145,1274.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
12,12,6270644.0,6202254.0,0.0,4885.0,1283.652814738997,106.21571990685797,1294.0,66.0,54129.0,45547.0,0.0,613.0,88.30179445350734,48.5789105623953,564.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
13,13,6146321.0,6079289.0,0.0,4788.0,1283.6927736006683,106.81289619341901,1294.0,66.0,53121.0,44595.0,0.0,609.0,87.22660098522168,43.80428799863534,564.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
14,14,6247011.0,6178887.0,0.0,4866.0,1283.808261405672,106.0310213972267,1294.0,66.0,53734.0,45054.0,0.0,620.0,86.66774193548387,36.33095087766542,330.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
15,15,5678077.0,5616169.0,0.0,4422.0,1284.0517865219358,104.86840533741045,1294.0,66.0,46763.0,39175.0,0.0,542.0,86.27859778597787,36.23027346539036,330.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
16,16,5120275.0,5064387.0,0.0,3992.0,1282.6340180360721,111.9566440877828,1294.0,66.0,53216.0,46216.0,0.0,500.0,106.432,154.61023697026013,1274.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
17,17,4941434.0,4887422.0,0.0,3858.0,1280.8278900984967,119.42099353113356,1294.0,66.0,51439.0,44887.0,0.0,468.0,109.91239316239316,160.65683425680362,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
18,18,4641620.0,4590814.0,32.0,3629.0,1279.0355469826397,126.31444841039432,1294.0,66.0,49371.0,43183.0,32.0,442.0,111.69909502262443,165.1472329505318,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
19,19,4759669.0,4707547.0,32.0,3723.0,1278.4499059897933,128.66142962179964,1294.0,66.0,51756.0,45246.0,32.0,465.0,111.30322580645161,163.6382204556602,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
20,20,4704637.0,4653131.0,52.0,3679.0,1278.7814623539005,127.41882523868249,1294.0,66.0,49828.0,43528.0,72.0,450.0,110.72888888888889,165.78374752432723,1274.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
21,21,4620229.0,4569675.0,72.0,3611.0,1279.4873996122958,124.91228955615505,1294.0,66.0,38608.0,32616.0,92.0,428.0,90.20560747663552,57.19404392194165,577.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
22,22,4698802.0,4647366.0,72.0,3674.0,1278.9335873707132,127.06070349309701,1294.0,66.0,40703.0,34291.0,92.0,458.0,88.87117903930131,52.68356139222125,577.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
23,23,4674921.0,4623611.0,40.0,3665.0,1275.5582537517053,140.20090419438574,1294.0,66.0,42919.0,36255.0,60.0,476.0,90.16596638655462,57.23260604458207,577.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
24,24,3831811.0,3789517.0,40.0,3021.0,1268.3915921880173,164.30478028058857,1294.0,66.0,35182.0,29722.0,60.0,390.0,90.2102564102564,57.448276825250936,575.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
25,25,3959838.0,3915878.0,20.0,3140.0,1261.0949044585986,185.18917485530736,1294.0,66.0,49836.0,43970.0,20.0,419.0,118.94033412887828,184.72959990104988,1274.0,54.0,0,0,0,37,1587865066,1587865247,1,1,0
26,26,4094791.0,4049501.0,0.0,3235.0,1265.777743431221,169.76932362763648,1294.0,66.0,50270.0,44152.0,0.0,437.0,115.03432494279176,179.14928950277695,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
27,27,3432179.0,3394071.0,0.0,2722.0,1260.9033798677442,183.36721085032525,1294.0,66.0,43015.0,38031.0,0.0,356.0,120.82865168539325,197.29545337045647,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
28,28,3316215.0,3279283.0,0.0,2638.0,1257.0943896891586,193.7242530981236,1294.0,66.0,42441.0,37625.0,0.0,344.0,123.375,201.17988179764964,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
29,29,2965263.0,2932125.0,0.0,2367.0,1252.7515842839036,205.20224850917947,1294.0,66.0,40267.0,35857.0,32.0,315.0,127.83174603174604,209.14403089463525,1274.0,75.0,0,0,0,37,1587865066,1587865247,1,1,0
30,30,2304838.0,2279078.0,64.0,1840.0,1252.629347826087,203.90833300564222,1294.0,66.0,23188.0,19730.0,128.0,247.0,93.87854251012146,65.949077284196,574.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
31,31,1868153.0,1847167.0,128.0,1499.0,1246.2661774516343,220.06264920816423,1294.0,66.0,19048.0,16290.0,172.0,197.0,96.69035532994924,75.89239348718581,575.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
32,32,2353588.0,2327086.0,128.0,1893.0,1243.311146328579,225.80870424133988,1294.0,66.0,24794.0,21182.0,172.0,258.0,96.10077519379846,75.98320346432757,575.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
33,33,3299564.0,3262772.0,160.0,2628.0,1255.5418569254186,195.81441412132602,1294.0,66.0,30061.0,25427.0,204.0,331.0,90.81873111782477,65.09001723773987,575.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
34,34,4557489.0,4506767.0,160.0,3623.0,1257.9323764835772,190.2976549239802,1294.0,66.0,40606.0,34222.0,172.0,456.0,89.04824561403508,59.42496629977292,575.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
35,35,5696243.0,5633047.0,96.0,4514.0,1261.9058484714221,181.1910228160769,1294.0,66.0,52424.0,44178.0,76.0,589.0,89.00509337860781,55.324033662711564,575.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
36,36,5799222.0,5734878.0,32.0,4596.0,1261.7976501305484,181.23935088587876,1294.0,66.0,53248.0,44820.0,32.0,602.0,88.45182724252491,52.01940449010387,575.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
37,37,4724212.0,4671880.0,32.0,3738.0,1263.8341359015517,175.8744484178296,1294.0,66.0,43393.0,36505.0,32.0,492.0,88.19715447154472,49.65433106516475,575.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
38,38,3175933.0,3140709.0,0.0,2516.0,1262.2945151033387,181.64274756829886,1294.0,66.0,31078.0,26248.0,0.0,345.0,90.08115942028985,51.18745678375785,575.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
39,39,1849047.0,1828663.0,0.0,1456.0,1269.9498626373627,158.74053000215713,1294.0,66.0,18515.0,15645.0,0.0,205.0,90.3170731707317,48.310499300392074,575.0,73.0,0,0,0,37,1587865066,1587865247,1,1,0
40,40,622637.0,615553.0,128.0,506.0,1230.50790513834,255.44048009333818,1294.0,66.0,6733.0,5725.0,192.0,72.0,93.51388888888889,56.42718834814068,325.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
41,41,791119.0,782229.0,128.0,635.0,1245.8566929133858,222.60690242305157,1294.0,66.0,7414.0,6224.0,192.0,85.0,87.2235294117647,44.90653731279674,325.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
42,42,791119.0,782229.0,128.0,635.0,1245.8566929133858,222.60690242305157,1294.0,66.0,7414.0,6224.0,192.0,85.0,87.2235294117647,44.90653731279674,325.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
43,43,791277.0,782359.0,128.0,637.0,1242.1930926216642,231.64568316041724,1294.0,66.0,7414.0,6224.0,192.0,85.0,87.2235294117647,44.90653731279674,325.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
44,44,791277.0,782359.0,128.0,637.0,1242.1930926216642,231.64568316041724,1294.0,66.0,7414.0,6224.0,192.0,85.0,87.2235294117647,44.90653731279674,325.0,66.0,0,0,0,37,1587865066,1587865247,1,1,0
45,45,763972.0,755474.0,0.0,607.0,1258.6029654036245,187.92448847468393,1294.0,67.0,6383.0,5333.0,0.0,75.0,85.10666666666667,38.919257729589624,325.0,76.0,0,0,0,37,1587865066,1587865247,1,1,0
46,46,998721.0,987535.0,0.0,799.0,1249.9637046307885,212.43971079507764,1294.0,66.0,8997.0,7569.0,0.0,102.0,88.20588235294117,47.23353291957516,325.0,76.0,0,0,0,37,1587865066,1587865247,1,1,0
47,47,998721.0,987535.0,0.0,799.0,1249.9637046307885,212.43971079507764,1294.0,66.0,8997.0,7569.0,0.0,102.0,88.20588235294117,47.23353291957516,325.0,76.0,0,0,0,37,1587865066,1587865247,1,1,0
48,48,998629.0,987457.0,32.0,798.0,1251.4147869674186,208.57900814436832,1294.0,66.0,9116.0,7674.0,32.0,103.0,88.50485436893204,47.10056866607994,325.0,76.0,0,0,0,37,1587865066,1587865247,1,1,0
