,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,3758858.0,3715794.0,1408.0,3076.0,1221.9954486345903,269.2405624593614,1435.0,65.0,56353.0,49927.0,1824.0,459.0,122.77342047930283,191.68762281418222,1454.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
1,1,5518173.0,5455355.0,1408.0,4487.0,1229.813461109873,255.19951810712791,1435.0,65.0,85799.0,76727.0,1824.0,648.0,132.40586419753086,220.48419030734996,1454.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
2,2,5872754.0,5806044.0,1336.0,4765.0,1232.4772298006296,251.2909664041137,1435.0,65.0,90452.0,80708.0,1752.0,696.0,129.95977011494253,210.39716436387857,1454.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
3,3,6067771.0,5999213.0,328.0,4897.0,1239.0792321829692,236.47148749518453,1294.0,65.0,76813.0,67559.0,456.0,661.0,116.2072617246596,174.820844561245,1274.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
4,4,5575855.0,5512659.0,192.0,4514.0,1235.2359326539654,241.57884335527547,1294.0,65.0,69592.0,61108.0,256.0,606.0,114.83828382838284,167.3790492418557,1274.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
5,5,6121781.0,6053111.0,128.0,4905.0,1248.0695208970437,214.0549308320926,1294.0,65.0,67915.0,59249.0,128.0,619.0,109.7172859450727,162.60074061395724,1274.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
6,6,5862416.0,5797008.0,128.0,4672.0,1254.7979452054794,197.48739949198423,1294.0,66.0,50231.0,42279.0,128.0,568.0,88.43485915492958,51.62809840970998,691.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
7,7,5797274.0,5732790.0,96.0,4606.0,1258.6352583586627,185.85693564796122,1294.0,66.0,46259.0,38671.0,96.0,542.0,85.34870848708488,42.697319110426626,545.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
8,8,6456461.0,6384725.0,64.0,5124.0,1260.0431303669009,183.0211227044812,1294.0,66.0,51360.0,42988.0,96.0,598.0,85.88628762541806,43.58573352010763,545.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
9,9,6477298.0,6405464.0,32.0,5131.0,1262.3851101149874,178.08555369892508,1294.0,66.0,51277.0,42835.0,64.0,603.0,85.03648424543947,41.693050300510066,546.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
10,10,5337751.0,5278167.0,32.0,4256.0,1254.170817669173,200.59258124435027,1294.0,66.0,45188.0,37950.0,64.0,517.0,87.40425531914893,49.04623229758411,546.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
11,11,4496396.0,4445898.0,32.0,3607.0,1246.5749930690324,217.48964422789206,1294.0,66.0,39451.0,33235.0,64.0,444.0,88.8536036036036,52.56504945256856,546.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
12,12,4412753.0,4363165.0,32.0,3542.0,1245.8365330321851,219.8764593023619,1294.0,65.0,52329.0,46071.0,64.0,447.0,117.06711409395973,185.2027004080332,1274.0,66.0,0,0,0,6,1587083364,1587083485,1,1,0
