,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,2717527.0,2686671.0,38276.0,2204.0,1232.9977313974591,388.57566993478997,1454.0,66.0,76092.0,66348.0,18152.0,696.0,109.32758620689656,172.26587189084069,1454.0,54.0,0,0,0,50,1587944004,1587944185,1,1,0
1,1,2620081.0,2589561.0,51404.0,2180.0,1201.872018348624,456.4033511509286,1454.0,66.0,81464.0,71300.0,20976.0,726.0,112.20936639118457,178.3405607671739,1454.0,54.0,0,0,0,50,1587944004,1587944185,1,1,0
2,2,3430601.0,3391107.0,82356.0,2821.0,1216.0939383197447,476.38543718235934,1484.0,66.0,102115.0,87919.0,32144.0,1014.0,100.7051282051282,143.4076713103732,1454.0,54.0,0,0,0,50,1587944004,1587944185,1,1,0
3,3,3147442.0,3110706.0,83716.0,2624.0,1199.4824695121952,505.08446045456793,1484.0,66.0,104990.0,90836.0,33316.0,1011.0,103.84767556874382,149.66726214869976,1454.0,54.0,0,0,0,50,1587944004,1587944185,1,1,0
4,4,3792324.0,3748896.0,99064.0,3102.0,1222.5415860735009,485.6954442015909,1484.0,66.0,110348.0,94654.0,37280.0,1121.0,98.43710972346119,137.7126506342969,1454.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
5,5,2496859.0,2467571.0,66720.0,2092.0,1193.5272466539197,507.73235007726385,1484.0,66.0,78224.0,68228.0,23344.0,714.0,109.55742296918767,160.19982333723243,1454.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
6,6,2045231.0,2021725.0,53592.0,1679.0,1218.1244788564622,489.1395765046092,1484.0,66.0,66787.0,58037.0,20520.0,625.0,106.8592,155.48629063476946,1454.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
7,7,829967.0,820027.0,22640.0,710.0,1168.9676056338028,522.391319319053,1484.0,66.0,28972.0,25038.0,9352.0,281.0,103.1032028469751,122.0770716114591,975.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
8,8,815350.0,806068.0,21216.0,663.0,1229.788838612368,471.21051140592726,1454.0,66.0,22356.0,18954.0,8116.0,243.0,92.0,95.96823033987812,975.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
9,9,44297.0,43821.0,1088.0,34.0,1302.8529411764705,247.13179769614015,1454.0,107.0,1188.0,936.0,576.0,18.0,66.0,0.0,66.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
10,10,525.0,469.0,128.0,4.0,131.25,93.90254256408609,292.0,66.0,4212.0,4114.0,224.0,7.0,601.7142857142857,567.7420727975775,1454.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
11,11,683.0,599.0,192.0,6.0,113.83333333333333,80.87936833471329,292.0,66.0,4372.0,4246.0,288.0,9.0,485.77777777777777,545.7013382953023,1454.0,66.0,0,0,0,50,1587944004,1587944185,1,1,0
