,Acc,Pred,Reca
0,0.9767441860465116,0.9666898904478186,0.9772727272727273
1,0.9605263157894737,0.9387989203778677,0.9743589743589743
2,0.9342105263157895,0.9107396870554765,0.9210526315789473
3,0.9523809523809523,0.9308390022675737,0.9523809523809523
4,0.91,0.9004651162790698,0.84
5,0.9886363636363636,0.9891414141414141,0.9777777777777777
6,0.9024390243902439,0.8714821763602252,0.8780487804878049
7,0.9880952380952381,0.9767441860465116,1.0
8,0.9,0.8442315137437089,0.9722222222222222
9,0.9302325581395349,0.9123124937078424,0.9090909090909091
10,0.9047619047619048,0.8877672714882017,0.8604651162790697
11,0.9166666666666666,0.8571428571428571,1.0
12,0.9166666666666666,0.9205426356589147,0.8372093023255814
13,0.9418604651162791,0.9117336152219873,0.9534883720930233
14,0.9782608695652174,0.9583333333333334,1.0
15,0.9878048780487805,0.9761904761904762,1.0
16,0.9222222222222223,0.9021164021164021,0.8888888888888888
17,0.9871794871794872,0.9871794871794872,0.9743589743589743
18,0.8717948717948718,0.8374493927125506,0.85
19,0.9078947368421053,0.879217273954116,0.8974358974358975
