,Acc,Pred,Reca
0,0.9534883720930233,0.9344128387468769,0.9545454545454546
1,0.9473684210526315,0.9263815356932765,0.9487179487179487
2,0.9605263157894737,0.9369095816464237,0.9736842105263158
3,0.9880952380952381,0.9880952380952381,0.9761904761904762
4,0.89,0.8640000000000001,0.84
5,0.9545454545454546,0.9457188160676532,0.9333333333333333
6,0.9390243902439024,0.9170731707317072,0.926829268292683
7,0.9285714285714286,0.8896103896103895,0.9523809523809523
8,0.9142857142857143,0.8736006683375105,0.9444444444444444
9,0.8953488372093024,0.8545924359877847,0.9090909090909091
10,0.9404761904761905,0.9037146709037508,0.9767441860465116
11,0.9523809523809523,0.9130434782608695,1.0
12,0.9404761904761905,0.931921373200443,0.9069767441860465
13,0.9418604651162791,0.903437815975733,0.9767441860465116
14,0.9239130434782609,0.8956521739130434,0.9130434782608695
15,0.9634146341463414,0.9413472706155632,0.975609756097561
16,0.9444444444444444,0.9154589371980677,0.9555555555555556
17,0.9615384615384616,0.9493927125506073,0.9487179487179487
18,0.9102564102564102,0.8578205128205127,0.975
19,0.8289473684210527,0.7770242914979757,0.8461538461538461
