,Acc,Pred,Reca
0,0.9512195121951219,0.9292088042831648,0.9512195121951219
1,0.9493670886075949,0.936103581673202,0.9230769230769231
2,0.9634146341463414,0.9318181818181818,1.0
3,0.9702970297029703,0.970879440885265,0.9411764705882353
4,0.9473684210526315,0.9238227146814404,0.9473684210526315
5,0.9310344827586207,0.9216758098223615,0.8863636363636364
6,0.9555555555555556,0.9449612403100774,0.9333333333333333
7,0.9595959595959596,0.9402353396522493,0.9591836734693877
8,0.9540229885057471,0.93212858146373,0.9534883720930233
9,1.0,1.0,1.0
10,0.9310344827586207,0.9117778772951186,0.9090909090909091
11,0.978021978021978,0.9583333333333334,1.0
12,0.9803921568627451,0.9709727028066129,0.9803921568627451
13,0.945054945054945,0.9357659529550328,0.9130434782608695
14,0.9509803921568627,0.9509803921568627,0.9019607843137255
15,0.9893617021276596,0.9791666666666666,1.0
16,0.9368421052631579,0.910485197368421,0.9375
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,0.98,0.9615384615384616,1.0
