Vid_type_mean,Vid_pltform_mean,Vid_pltform_ML_mean,Vid_number_mean,Vid_begin_mean,Vid_end_mean,Avg_throughput_uldl_mean,Avg_throughput_uldl_min,Avg_throughput_uldl_max,mean_size_frame_uldl_mean_mean,mean_size_frame_uldl_mean_min,mean_size_frame_uldl_mean_max,burst_size_uldl_mean_mean,burst_size_uldl_mean_min,burst_size_uldl_mean_max,burst_num_of_packets_uldl_mean_mean,burst_num_of_packets_uldl_mean_min,burst_num_of_packets_uldl_mean_max,Avg_throughput_dl_mean,Avg_throughput_dl_min,Avg_throughput_dl_max,Avg_throughput_ul_mean,Avg_throughput_ul_min,Avg_throughput_ul_max,maxserverburstsize_mean,maxserverburstsize_min,maxserverburstsize_max,maxserverbursttime_mean,maxserverbursttime_min,maxserverbursttime_max,maxserverburstrate_mean,maxserverburstrate_min,maxserverburstrate_max,maxserverburstpacket_mean,maxserverburstpacket_min,maxserverburstpacket_max,maxclientburstsize_mean,maxclientburstsize_min,maxclientburstsize_max,maxclientbursttime_mean,maxclientbursttime_min,maxclientbursttime_max,maxclientburstrate_mean,maxclientburstrate_min,maxclientburstrate_max,maxclientburstpacket_mean,maxclientburstpacket_min,maxclientburstpacket_max,burst_duration_ul_mean_mean,burst_duration_ul_mean_min,burst_duration_ul_mean_max,burst_gap_ul_mean_mean,burst_gap_ul_mean_min,burst_gap_ul_mean_max,burst_sizerate_ul_mean_mean,burst_sizerate_ul_mean_min,burst_sizerate_ul_mean_max,mean_gap_frame_ul_mean_mean,mean_gap_frame_ul_mean_min,mean_gap_frame_ul_mean_max,mean_size_frame_ul_mean_mean,mean_size_frame_ul_mean_min,mean_size_frame_ul_mean_max,burst_size_ul_mean_mean,burst_size_ul_mean_min,burst_size_ul_mean_max,burst_num_of_packets_ul_mean_mean,burst_num_of_packets_ul_mean_min,burst_num_of_packets_ul_mean_max,burst_duration_dl_mean_mean,burst_duration_dl_mean_min,burst_duration_dl_mean_max,burst_gap_dl_mean_mean,burst_gap_dl_mean_min,burst_gap_dl_mean_max,burst_sizerate_dl_mean_mean,burst_sizerate_dl_mean_min,burst_sizerate_dl_mean_max,mean_gap_frame_dl_mean_mean,mean_gap_frame_dl_mean_min,mean_gap_frame_dl_mean_max,mean_size_frame_dl_mean_mean,mean_size_frame_dl_mean_min,mean_size_frame_dl_mean_max,burst_size_dl_mean_mean,burst_size_dl_mean_min,burst_size_dl_mean_max,burst_num_of_packets_dl_mean_mean,burst_num_of_packets_dl_mean_min,burst_num_of_packets_dl_mean_max,Max_rtt_mean,Max_rtt_min,Max_rtt_max,Avg_rtt_mean,Avg_rtt_min,Avg_rtt_max,Packet_loss_mean,Packet_loss_min,Packet_loss_max,flow_ct,Avg_throughput_uldl_sum,mean_size_frame_uldl_mean_sum,burst_size_uldl_mean_sum,burst_num_of_packets_uldl_mean_sum,Avg_throughput_dl_sum,Avg_throughput_ul_sum,maxserverburstsize_sum,maxserverbursttime_sum,maxserverburstrate_sum,maxserverburstpacket_sum,maxclientburstsize_sum,maxclientbursttime_sum,maxclientburstrate_sum,maxclientburstpacket_sum,burst_duration_ul_mean_sum,burst_gap_ul_mean_sum,burst_sizerate_ul_mean_sum,mean_gap_frame_ul_mean_sum,mean_size_frame_ul_mean_sum,burst_size_ul_mean_sum,burst_num_of_packets_ul_mean_sum,burst_duration_dl_mean_sum,burst_gap_dl_mean_sum,burst_sizerate_dl_mean_sum,mean_gap_frame_dl_mean_sum,mean_size_frame_dl_mean_sum,burst_size_dl_mean_sum,burst_num_of_packets_dl_mean_sum,Max_rtt_sum,Avg_rtt_sum,Packet_loss_sum,flow_gap_mean,flow_gap_sum,flow_gap_max,flow_gap_min,time,location,bandwidth
0.0,1.0,1.0,16.0,1590632393.0,1590632533.0,345520.011088531,27023.51937519246,664016.5028018695,1467.3539263781638,1453.2646428797843,1481.4432098765433,5565.929537132019,4191.448148148148,6940.410926115889,5.267289893065163,4.496296296296296,6.038283489834029,339140.708108135,25524.267379116405,652757.1488371536,6379.302980396028,1499.2519960760528,11259.353964716003,31365.0,13940.0,48790.0,0.014014601707458496,0.011356115341186523,0.01667308807373047,2566220.7101640753,836077.8722187269,4296363.548109423,22.5,10.0,35.0,1903.0,1394.0,2412.0,0.035868167877197266,0.0,0.07173633575439453,16811.56400473272,0.0,33623.12800946544,3.0,1.0,5.0,0.009752898485400495,0.00014486312866210938,0.01936093384213888,0.10979140193111382,0.06566707275006536,0.15391573111216228,507874.8912173821,70167.00001377861,945582.7824209856,0.0025342240697972286,9.781509166666667e-05,0.0049706330479277906,128.66721332316297,89.43442664632595,167.9,162.97990083905415,119.65980167810831,206.3,1.311670480549199,1.0900076277650648,1.5333333333333334,0.0044689859076444925,0.002909457242047345,0.0060285145732416395,0.12044155442792139,0.07750097600773892,0.16338213284810385,2229367.543374844,1437675.1080889974,3021059.9786606906,0.0012567577448897157,0.0009531483683127573,0.0015603671214666744,1338.6867130550008,1313.5432098765432,1363.8302162334585,5402.949636292965,3985.1481481481483,6820.751124437781,3.9556194125159636,2.962962962962963,4.948275862068964,,,,,,,0.0,0.0,0.0,2.0,691040.022177062,2934.7078527563276,11131.859074264037,10.534579786130326,678281.41621627,12758.605960792056,62730.0,0.028029203414916992,5132441.4203281505,45.0,3806.0,0.07173633575439453,33623.12800946544,6.0,0.01950579697080099,0.21958280386222764,1015749.7824347642,0.005068448139594457,257.33442664632594,325.9598016781083,2.623340961098398,0.008937971815288985,0.24088310885584277,4458735.086749688,0.0025135154897794314,2677.3734261100017,10805.89927258593,7.911238825031927,,,0.0,2.797778367996216,2.797778367996216,2.797778367996216,2.797778367996216,3,3,0
0.0,1.0,1.0,4.0,1586753656.0,1586753777.0,1108684.3164644889,99645.05788364897,2117723.5750453286,1374.5458217508585,1331.57181122449,1417.5198322772271,11597.491616085394,6180.410714285715,17014.572517885073,12.326607150635837,6.697321428571429,17.955892872700247,1078282.6373996993,95953.40338633256,2060611.871413066,30401.67906478948,3691.654497316412,57111.70363226255,152424.0,29232.0,275616.0,0.04158210754394531,0.0012111663818359375,0.08195304870605469,13749254.33558609,3363096.3625107636,24135412.308661416,109.5,21.0,198.0,3408.0,1728.0,5088.0,0.033568382263183594,0.0016999244689941404,0.06543684005737305,547135.058927397,77754.3658211337,1016515.7520336604,37.0,3.0,71.0,0.0059517760600999985,0.0007282188960484097,0.011175333224151587,0.042790069153875315,0.033441890989031116,0.05213824731871952,13011365.858587613,9410467.040057514,16612264.677117713,0.004659017744132167,0.0003379863945578232,0.008980049093706512,90.79561374390508,88.86316626332035,92.7280612244898,329.9434682964095,208.28571428571428,451.6012223071047,4.085637891520244,2.2285714285714286,5.9427043544690585,0.0026169096006266918,0.0006309598684310912,0.004602859332822292,0.045596454610442635,0.03150957077741623,0.059683338443469035,22276458.391861428,10457190.45843059,34095726.32529227,0.0002543775674326417,0.00010876324404761906,0.00039999189081766436,1283.7502080069535,1238.84375,1328.6566660139067,11267.548147788984,5972.125,16562.97129557797,8.240969259115595,4.46875,12.013188518231187,,,,,,,0.0,0.0,0.0,2.0,2217368.6329289777,2749.091643501717,23194.983232170787,24.653214301271674,2156565.2747993986,60803.35812957896,304848.0,0.08316421508789062,27498508.67117218,219.0,6816.0,0.06713676452636719,1094270.117854794,74.0,0.011903552120199997,0.08558013830775063,26022731.717175227,0.009318035488264334,181.59122748781016,659.886936592819,8.171275783040487,0.0052338192012533835,0.09119290922088527,44552916.783722855,0.0005087551348652834,2567.500416013907,22535.09629557797,16.48193851823119,,,0.0,0.010807037353515625,0.010807037353515625,0.010807037353515625,0.010807037353515625,2,1,0
1.0,1.0,1.0,27.0,1587380312.0,1587380552.0,6648385.657157854,5543419.16414271,7753352.150172998,1477.3194654896874,1462.5287085325574,1492.1102224468173,17706.49653939136,11264.936040933802,24148.057037848914,14.49158642729506,9.975375759513913,19.007797095076207,6528626.675679178,5512854.3072162485,7544399.0441421075,119758.98147867652,30564.856926461904,208953.10603089113,155773.5,56811.0,254736.0,0.020379066467285156,0.003823995590209961,0.03693413734436035,10876742.079462694,6897033.972255395,14856450.186669992,112.0,41.0,183.0,3072.0,3014.0,3130.0,0.0669649839401245,0.0016570091247558596,0.13227295875549314,921301.5408893134,23663.188828986666,1818939.8929496403,3.5,3.0,4.0,0.0016687392729828542,0.0008007265486807192,0.0025367519972849892,0.022388246735108717,0.011987119350793229,0.0327893741194242,5162827.446101515,3825738.3300721725,6499916.562130856,0.0010290980219157294,0.0005067149595687331,0.0015514810842627257,132.2959850367331,78.42464452689536,186.16732554657082,234.99762059955123,134.95750535004586,335.0377358490566,1.825761552349694,1.7269948028125954,1.9245283018867925,0.00266867385645982,0.002258494748907573,0.003078852964012067,0.019968720324613297,0.00816567469451387,0.031771765954712726,16669094.733870167,14831184.492023887,18507004.97571645,0.0003219299245855791,0.00025683528427814054,0.0003870245648930176,1345.0234804529541,1305.9428969002465,1384.104064005662,17471.498918791807,10929.898305084746,24013.09953249887,12.665824874945365,8.05084745762712,17.280802292263612,,,,,,,0.0,0.0,0.0,2.0,13296771.314315708,2954.638930979375,35412.99307878272,28.98317285459012,13057253.351358356,239517.96295735304,311547.0,0.04075813293457031,21753484.158925388,224.0,6144.0,0.133929967880249,1842603.081778627,7.0,0.0033374785459657085,0.044776493470217435,10325654.89220303,0.002058196043831459,264.5919700734662,469.99524119910245,3.651523104699388,0.00533734771291964,0.039937440649226594,33338189.467740335,0.0006438598491711582,2690.0469609059082,34942.997837583614,25.33164974989073,,,0.0,6.460875034332275,6.460875034332275,6.460875034332275,6.460875034332275,3,1,0
0.0,1.0,1.0,32.0,1587859214.0,1587859395.0,985056.873461117,71358.44988276025,1898755.297039474,1379.6814661395617,1301.6842231842234,1457.6787090949001,11944.49695202277,4827.934523809524,19061.059380236016,10.81706489715716,6.005952380952381,15.628177413361936,974495.8108578054,68189.32885861397,1880802.2928569969,10561.062603311655,3169.1210241462873,17953.004182477023,118320.0,20880.0,215760.0,0.06234502792358398,0.011627912521362305,0.11306214332580565,1852005.10267803,1795679.14375346,1908331.0616026002,85.0,15.0,155.0,5826.5,1718.0,9935.0,0.0416795015335083,0.0013082027435302734,0.08205080032348633,717167.8116303775,121083.52338832935,1313252.0998724257,65.5,3.0,128.0,0.0070549627000580945,0.0021676719188690186,0.01194225348124717,0.3662211426770055,0.0688057896843282,0.6636364956696829,10510677.821940955,5119523.111061418,15901832.532820493,0.004608915093009177,0.0002228543709150326,0.00899497581510332,101.46952045063082,92.64158719755794,110.29745370370372,221.23665119585212,181.18163572503758,261.2916666666667,2.2648122595751796,1.9879578524836927,2.5416666666666665,0.004291722220099139,0.00189971923828125,0.006683725201917028,0.05396483262821858,0.03439667395183018,0.07353299130460697,8545530.633124463,4097890.2176971002,12993171.048551826,0.0004860604969891864,0.00043176386440940017,0.0005403571295689726,1278.2119456889309,1191.3867694805197,1365.037121897342,11723.260300826918,4566.642857142857,18879.877744510977,8.55225263758198,3.4642857142857144,13.640219560878243,,,,,,,0.0,0.0,0.0,2.0,1970113.746922234,2759.3629322791235,23888.99390404554,21.63412979431432,1948991.6217156108,21122.12520662331,236640.0,0.12469005584716795,3704010.20535606,170.0,11653.0,0.0833590030670166,1434335.623260755,131.0,0.014109925400116189,0.732442285354011,21021355.64388191,0.009217830186018353,202.93904090126165,442.47330239170424,4.529624519150359,0.008583444440198278,0.10792966525643716,17091061.266248927,0.0009721209939783728,2556.4238913778618,23446.520601653836,17.10450527516396,,,0.0,15.882406949996948,15.882406949996948,15.882406949996948,15.882406949996948,1,1,0
0.0,1.0,1.0,16.0,1587259073.0,1587259193.0,567653.7360767806,299865.18308905384,835442.2890645072,1073.9595555979647,676.7976190476189,1471.1214921483104,11301.187430912903,1712.1999999999998,20890.174861825806,10.903220888126548,5.199999999999999,16.606441776253096,511022.3504511626,195583.7089700247,826460.9919323005,56631.38562561792,8981.297132206693,104281.47411902915,66885.5,2923.0,130848.0,0.04421496391296387,0.027217864990234368,0.06121206283569336,2427591.3675991534,47752.0257379003,4807430.709460407,50.5,7.0,94.0,2497.5,1984.0,3011.0,0.002371072769165039,0.002284049987792969,0.002458095550537109,1062700.6456402666,807128.9171677983,1318272.3741127348,3.5,3.0,4.0,0.01956224782699688,0.005517959594726562,0.033606536059267195,0.09924582652371339,0.03570923805236816,0.1627824149950586,1621995.7981346503,296476.39622874465,2947515.200040556,0.010774023155800429,0.0026176666666666666,0.01893037964493419,168.74790800158445,138.01248266983558,199.48333333333332,404.3843434343434,220.36868686868686,588.4,2.1929292929292927,1.5858585858585859,2.8,0.008169418460917923,0.004031622184897369,0.012307214736938476,0.1096603898609482,0.02328577041625977,0.19603500930563664,4457931.440111363,907051.2169209428,8008811.663301785,0.001184947833248891,0.00026469566649778216,0.0021052,905.2116475963802,477.31428571428563,1333.1090094784747,10896.80308747856,1123.8,20669.80617495712,8.710291595197255,2.4,15.020583190394511,,,,,,,0.0,0.0,0.0,2.0,1135307.4721535612,2147.9191111959294,22602.374861825807,21.806441776253095,1022044.7009023252,113262.77125123584,133771.0,0.08842992782592773,4855182.735198307,101.0,4995.0,0.004742145538330078,2125401.291280533,7.0,0.03912449565399376,0.19849165304742677,3243991.5962693007,0.021548046311600857,337.4958160031689,808.7686868686868,4.3858585858585855,0.016338836921835846,0.2193207797218964,8915862.880222727,0.002369895666497782,1810.4232951927604,21793.60617495712,17.42058319039451,,,0.0,83.57530188560486,83.57530188560486,83.57530188560486,83.57530188560486,1,1,0
1.0,1.0,1.0,40.0,1587785373.0,1587785553.0,1804198.100769094,237462.90414193727,3370933.2973962505,1448.9375131798768,1434.3555439663037,1463.5194823934498,11392.002047973414,7590.584500170075,15193.419595776753,9.9963179787605,7.334415131795395,12.658220825725603,1785768.1746215594,232270.7935837657,3339265.5556593533,18429.926147534497,5192.110558171551,31667.741736897446,308687.5,169087.0,448288.0,0.010767579078674316,0.0020771026611328125,0.01945805549621582,52221952.42844216,23038684.419786066,81405220.43709825,222.5,122.0,323.0,4831.5,3293.0,6370.0,0.02057945728302002,0.019611835479736328,0.02154707908630371,238816.0029836009,152828.13910926695,324803.8668579348,57.0,36.0,78.0,0.0016377375658160717,0.001310196643155674,0.0019652784884764693,0.18027794955904344,0.036703678698186866,0.3238522204199,8032974.610496465,7706880.605918516,8359068.615074414,0.0010845249840003694,0.0005760796587953986,0.0015929703092053401,99.81321408959742,83.27399581949405,116.3524323597008,180.89745183215462,150.46409080986686,211.3308128544424,1.871601242742997,1.818816852215673,1.9243856332703213,0.0022173126920664423,0.0013341678630637561,0.003100457521069129,0.1428930335599472,0.032936429888602126,0.2528496372312923,24541591.05503618,20629562.164505586,28453619.94556677,0.00029076969375161884,0.0002339876239064647,0.00034755176359677303,1349.1242990902792,1318.003111606603,1380.2454865739558,11211.10459614126,7379.253687315633,15042.955504966887,8.124716736017502,5.410029498525073,10.839403973509931,,,,,,,0.0,0.0,0.0,2.0,3608396.201538188,2897.8750263597535,22784.004095946828,19.992635957521,3571536.349243119,36859.852295068995,617375.0,0.021535158157348633,104443904.85688432,445.0,9663.0,0.04115891456604004,477632.0059672018,114.0,0.0032754751316321435,0.3605558991180869,16065949.22099293,0.0021690499680007387,199.62642817919485,361.79490366430923,3.743202485485994,0.0044346253841328846,0.2857860671198944,49083182.11007236,0.0005815393875032377,2698.2485981805585,22422.20919228252,16.249433472035005,,,0.0,0.08414196968078613,0.08414196968078613,0.08414196968078613,0.08414196968078613,2,1,0
1.0,1.0,1.0,7.0,1586754746.0,1586754867.0,3265737.319467567,130400.07996588471,6401074.558969249,1259.8306001136475,1066.519230769231,1453.1419694580643,13029.995650222778,2891.3012820512813,23168.690018394274,14.314825123262295,4.211538461538462,24.41811178498613,3175575.0425520726,114340.4084692326,6236809.676634912,90162.27691549427,16059.671496652105,164264.88233433643,260304.0,5568.0,515040.0,0.07888352870941162,0.002326011657714844,0.1554410457611084,2853603.8304408854,2393797.1168511687,3313410.5440306026,187.0,4.0,370.0,7231.0,2532.0,11930.0,0.0682225227355957,0.0660550594329834,0.07038998603820801,103907.99708072984,38331.658796989774,169484.3353644699,83.5,5.0,162.0,0.004540025779986457,0.003328958331314874,0.00575109322865804,0.10775165211834029,0.02565138442670338,0.1898519198099772,29276742.352868043,12538733.374378216,46014751.33135787,0.0009512514129258888,0.0004030236591851113,0.0014994791666666663,112.62221635014045,75.79443270028085,149.45000000000005,492.9200258721415,390.91666666666674,594.9233850776162,4.951364546820231,1.75,8.152729093640461,0.0032525751270262335,0.0008243414071890024,0.005680808846863465,0.100121784589572,0.023269070870522084,0.1769744983086219,7161712.426682095,4075362.040695034,10248062.812669156,0.0004146925153231918,0.0003883401588515118,0.0004410448717948719,1147.208383763507,917.0692307692308,1377.3475367577835,12537.075624350637,2500.384615384615,22573.76663331666,9.363460576442066,2.4615384615384617,16.26538269134567,,,,,,,0.0,0.0,0.0,2.0,6531474.638935134,2519.661200227295,26059.991300445556,28.62965024652459,6351150.085104145,180324.55383098853,520608.0,0.15776705741882324,5707207.660881771,374.0,14462.0,0.1364450454711914,207815.99416145968,167.0,0.009080051559972914,0.21550330423668057,58553484.705736086,0.0019025028258517775,225.2444327002809,985.840051744283,9.902729093640461,0.006505150254052467,0.200243569179144,14323424.85336419,0.0008293850306463836,2294.416767527014,25074.151248701273,18.72692115288413,,,0.0,1.9131405353546143,1.9131405353546143,1.9131405353546143,1.9131405353546143,2,1,0
0.0,1.0,1.0,1.0,1587167679.0,1587167799.0,2531548.909669679,2033542.5051043134,3029555.314235045,1398.1193114422476,1353.1268398268396,1443.1117830576554,13044.634946281174,4898.068181818182,21191.201710744168,13.939676056232141,5.428571428571429,22.450780683892855,2456147.0170855606,1962783.6973702959,2949510.336800825,75401.89258411895,70758.8077340176,80044.9774342203,152424.0,30624.0,274224.0,0.048405051231384284,0.004019021987915039,0.09279108047485353,5287524.141512108,2955284.048818841,7619764.234205375,109.5,22.0,197.0,4001.0,1728.0,6274.0,0.019672632217407227,0.0017771720886230469,0.037568092346191406,569667.3479736242,167003.42253699896,972331.2734102495,45.0,3.0,87.0,0.006145782694732806,0.00014357907431466238,0.01214798631515095,0.031754835980946944,0.01931351707095192,0.04419615489094197,17259011.117443074,15056600.970485615,19461421.264400534,0.003981997974810687,6.582043650793653e-05,0.007898175513113437,87.90345851204644,87.44047619047619,88.36644083361669,370.9358288770054,177.0,564.8716577540108,4.734339190221544,1.9285714285714288,7.540106951871658,0.0023562146696710644,0.000322623686356978,0.00438980565298515,0.034183062111040934,0.01694399118423462,0.05142213303784725,25976604.548147477,20415963.72786215,31537245.3684328,0.0001941473701543765,9.285737898465172e-05,0.0002954373613241013,1310.215852930201,1265.6863636363635,1354.7453422240387,12673.699117404169,4721.068181818182,20626.330052990157,9.205336866010597,3.5,14.910673732021197,,,,,,,0.0,0.0,0.0,2.0,5063097.819339358,2796.2386228844953,26089.269892562348,27.879352112464282,4912294.034171121,150803.7851682379,304848.0,0.09681010246276857,10575048.283024216,219.0,8002.0,0.03934526443481445,1139334.6959472485,90.0,0.012291565389465612,0.06350967196189389,34518022.23488615,0.007963995949621374,175.80691702409288,741.8716577540108,9.468678380443087,0.004712429339342129,0.06836612422208187,51953209.096294954,0.000388294740308753,2620.431705860402,25347.398234808337,18.410673732021195,,,0.0,0.04249906539916992,0.04249906539916992,0.04249906539916992,0.04249906539916992,1,1,0
1.0,1.0,1.0,27.0,1588246369.0,1588246610.0,3435081.954907911,3359753.676512027,3510410.233303794,1460.4984739436482,1454.8664960243145,1466.1304518629818,5515.845729599279,4024.2851985184498,7007.40626068011,5.456066421724936,4.284366695124512,6.627766148325359,3349436.203334216,3262719.7427580287,3436152.663910404,85645.75157369449,74257.56939339037,97033.9337539986,256118.0,179561.0,332675.0,0.008566498756408691,0.005382061004638672,0.011750936508178713,38546195.96094092,15280569.32951894,61811822.5923629,184.0,129.0,239.0,5775.0,4061.0,7489.0,0.2831563949584961,0.00061798095703125,0.5656948089599609,3292319.2441669,13238.587099232263,6571399.901234567,62.5,47.0,78.0,0.0011831514723739747,0.0005928599964841513,0.001773442948263798,0.012067363110125646,0.009012025684171341,0.015122700536079952,4117850.0964832967,3626403.0377859883,4609297.155180605,0.00038424966975461676,0.0002791270537594032,0.0004893722857498303,86.57125269746604,79.70917038863054,93.43333500630152,137.54245233872822,116.55141185448996,158.5334928229665,1.5601646341982938,1.4456881200712286,1.6746411483253592,0.004481858270209674,0.002512923499769116,0.006450793040650231,0.008044895345688901,0.007066280239550074,0.00902351045182773,3337625.7181948666,2977757.415190545,3697494.021199188,0.0011925740156866662,0.001017211226745284,0.0013679368046280484,1373.927221246182,1372.6971168566802,1375.157325635684,5378.303277260551,3907.73378666396,6848.872767857143,3.8959017875266415,2.8386785750532835,4.953125,,,,,,,0.0,0.0,0.0,2.0,6870163.909815822,2920.9969478872963,11031.691459198559,10.912132843449871,6698872.406668432,171291.50314738898,512236.0,0.017132997512817383,77092391.92188184,368.0,11550.0,0.5663127899169922,6584638.4883338,125.0,0.0023663029447479494,0.02413472622025129,8235700.192966593,0.0007684993395092335,173.14250539493207,275.08490467745645,3.1203292683965875,0.008963716540419348,0.016089790691377802,6675251.436389733,0.0023851480313733324,2747.854442492364,10756.606554521102,7.791803575053283,,,0.0,0.12486791610717773,0.12486791610717773,0.12486791610717773,0.12486791610717773,3,1,2
0.0,1.0,1.0,36.0,1588493468.0,1588493648.0,832862.058371894,192235.77856484713,1473488.3381789408,1279.5297250793215,1110.7440476190477,1448.3154025395952,4084.6743600856807,1909.0238095238094,6260.324910647552,5.2216811458519325,4.19047619047619,6.252886101227675,782393.0488837947,127591.04958850564,1437195.0481790837,50469.00948809932,36293.28999985717,64644.728976341474,97496.0,2849.0,192143.0,0.10794305801391603,5.412101745605469e-05,0.215831995010376,26765765.062255565,890243.3579913066,52641286.76651982,72.5,6.0,139.0,6918.0,1981.0,11855.0,0.06740701198577881,0.0007948875427246094,0.134019136428833,1290316.974311386,88457.51670915485,2492176.431913617,55.5,4.0,107.0,0.003012171169450242,0.0015458265940348306,0.004478515744865653,0.055534911581205645,0.029691840069149576,0.08137798309326172,2033188.3867596758,779801.4408926726,3286575.332626679,0.0014381908006943557,0.0007888333333333332,0.002087548268055378,230.78373920169759,82.4424784033952,379.125,430.09586418581097,155.02506170495542,705.1666666666665,2.0681285994557306,1.8029238655781281,2.333333333333333,0.0023348891547284967,8.719308035714285e-06,0.004661059001421279,0.043253382080245435,0.029323907192019893,0.057182856968470974,28062911.70246855,10113086.123020474,46012737.28191663,0.000538887207056994,2.542857142857143e-06,0.0010752315569711307,1048.7459858776238,731.6190476190477,1365.8729241362,3654.57849589987,1203.857142857143,6105.299848942597,3.153552546396202,1.8571428571428568,4.449962235649547,,,,,,,0.0,0.0,0.0,2.0,1665724.116743788,2559.059450158643,8169.3487201713615,10.443362291703865,1564786.0977675894,100938.01897619864,194992.0,0.21588611602783206,53531530.12451113,145.0,13836.0,0.13481402397155762,2580633.948622772,111.0,0.006024342338900484,0.11106982316241129,4066376.7735193516,0.0028763816013887113,461.56747840339517,860.1917283716219,4.136257198911461,0.004669778309456993,0.08650676416049087,56125823.4049371,0.001077774414113988,2097.4919717552475,7309.15699179974,6.307105092792404,,,0.0,61.505698919296265,61.505698919296265,61.505698919296265,61.505698919296265,3,1,3
