,Acc,Pred,Reca
0,0.8928571428571429,0.8608284054362485,0.8705882352941177
1,0.9032258064516129,0.8719106699751862,0.8846153846153846
2,0.9367088607594937,0.9192405063291139,0.9113924050632911
3,0.9351351351351351,0.9255278048446929,0.8924731182795699
4,0.9065420560747663,0.8783658739705746,0.8785046728971962
5,0.9314285714285714,0.917815467326771,0.898876404494382
6,0.8662790697674418,0.8329809725158561,0.813953488372093
7,0.8907103825136612,0.8436976385151953,0.9010989010989011
8,0.9171974522292994,0.8905623427269294,0.8987341772151899
9,0.8579545454545454,0.8083815684939281,0.8651685393258427
10,0.8830409356725146,0.84180625960462,0.8850574712643678
11,0.88,0.8372824302134647,0.875
12,0.8548387096774194,0.8102453483373181,0.8404255319148937
13,0.9322033898305084,0.9036117251074701,0.9325842696629213
14,0.9072164948453608,0.8803670556247876,0.8762886597938144
15,0.9375,0.9216867469879517,0.9090909090909091
16,0.8864864864864865,0.8487358326068004,0.8709677419354839
17,0.8956043956043956,0.8596403596403596,0.8791208791208791
18,0.8770949720670391,0.8386463701586476,0.8555555555555555
19,0.8693181818181818,0.835569832332644,0.8314606741573034
