Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth,bytes_frame_dl_mean,bytes_frame_dl_std,bytes_frame_dl_min,bytes_frame_dl_25%,bytes_frame_dl_50%,bytes_frame_dl_75%,bytes_frame_dl_max,bytes_ip_dl_mean,bytes_ip_dl_std,bytes_ip_dl_min,bytes_ip_dl_25%,bytes_ip_dl_50%,bytes_ip_dl_75%,bytes_ip_dl_max,bytes_hdr_dl_mean,bytes_hdr_dl_std,bytes_hdr_dl_min,bytes_hdr_dl_25%,bytes_hdr_dl_50%,bytes_hdr_dl_75%,bytes_hdr_dl_max,num_of_packets_dl_mean,num_of_packets_dl_std,num_of_packets_dl_min,num_of_packets_dl_25%,num_of_packets_dl_50%,num_of_packets_dl_75%,num_of_packets_dl_max,packet_size_mean_dl_mean,packet_size_mean_dl_std,packet_size_mean_dl_min,packet_size_mean_dl_25%,packet_size_mean_dl_50%,packet_size_mean_dl_75%,packet_size_mean_dl_max,packet_size_std_dl_mean,packet_size_std_dl_std,packet_size_std_dl_min,packet_size_std_dl_25%,packet_size_std_dl_50%,packet_size_std_dl_75%,packet_size_std_dl_max,packet_size_max_dl_mean,packet_size_max_dl_std,packet_size_max_dl_min,packet_size_max_dl_25%,packet_size_max_dl_50%,packet_size_max_dl_75%,packet_size_max_dl_max,packet_size_min_dl_mean,packet_size_min_dl_std,packet_size_min_dl_min,packet_size_min_dl_25%,packet_size_min_dl_50%,packet_size_min_dl_75%,packet_size_min_dl_max,bytes_frame_ul_mean,bytes_frame_ul_std,bytes_frame_ul_min,bytes_frame_ul_25%,bytes_frame_ul_50%,bytes_frame_ul_75%,bytes_frame_ul_max,bytes_ip_ul_mean,bytes_ip_ul_std,bytes_ip_ul_min,bytes_ip_ul_25%,bytes_ip_ul_50%,bytes_ip_ul_75%,bytes_ip_ul_max,bytes_hdr_ul_mean,bytes_hdr_ul_std,bytes_hdr_ul_min,bytes_hdr_ul_25%,bytes_hdr_ul_50%,bytes_hdr_ul_75%,bytes_hdr_ul_max,num_of_packets_ul_mean,num_of_packets_ul_std,num_of_packets_ul_min,num_of_packets_ul_25%,num_of_packets_ul_50%,num_of_packets_ul_75%,num_of_packets_ul_max,packet_size_mean_ul_mean,packet_size_mean_ul_std,packet_size_mean_ul_min,packet_size_mean_ul_25%,packet_size_mean_ul_50%,packet_size_mean_ul_75%,packet_size_mean_ul_max,packet_size_std_ul_mean,packet_size_std_ul_std,packet_size_std_ul_min,packet_size_std_ul_25%,packet_size_std_ul_50%,packet_size_std_ul_75%,packet_size_std_ul_max,packet_size_max_ul_mean,packet_size_max_ul_std,packet_size_max_ul_min,packet_size_max_ul_25%,packet_size_max_ul_50%,packet_size_max_ul_75%,packet_size_max_ul_max,packet_size_min_ul_mean,packet_size_min_ul_std,packet_size_min_ul_min,packet_size_min_ul_25%,packet_size_min_ul_50%,packet_size_min_ul_75%,packet_size_min_ul_max
1,1,0,29,1588227138,1588227373,2,1,1,1186499.0727272728,765046.4211142827,317688.0,603869.0,941930.0,1462468.0,3555022.0,1174084.3818181818,756752.1783933088,314454.0,597660.0,932382.0,1447054.0,3516844.0,237.01818181818183,580.4586784957886,0.0,0.0,0.0,58.0,2448.0,886.7636363636364,592.861546626203,231.0,443.5,687.0,1070.5,2727.0,1353.123783473241,30.253211051162133,1262.5912486659552,1347.7629051774911,1365.9872813990462,1373.7593668312518,1383.0660792951542,203.04997811207141,72.70169149619318,104.84059661984972,146.893702969255,180.68251586512204,232.57301542528018,380.7854692396142,1401.1636363636364,29.4283584800152,1392.0,1392.0,1392.0,1392.0,1506.0,60.14545454545455,2.5123265137685653,58.0,58.0,58.0,62.0,64.0,28052.654545454545,27535.16137879401,5003.0,9360.0,17745.0,31936.5,108197.0,25086.18181818182,25346.57239672904,4569.0,8205.0,14881.0,27595.5,98957.0,243.85454545454544,598.2517560662598,0.0,0.0,0.0,52.0,2440.0,211.8909090909091,165.03778161460292,31.0,82.5,182.0,255.5,692.0,127.46256376051821,34.39651458137469,86.5609756097561,99.4292672139459,113.22619047619048,152.35838150289015,235.22522522522522,180.72488902253608,74.71690889946925,66.77886651989783,118.66769070659308,150.25066030103588,231.07993540221577,359.24030665036264,1050.2727272727273,300.55081868594965,747.0,748.0,971.0,1392.0,1434.0,65.94545454545455,5.80682287651276,54.0,65.0,66.0,70.0,71.0
1,1,0,24,1588222780,1588223021,2,1,1,1365256.3454545455,865472.3440432679,585807.0,878048.0,1093679.0,1592939.0,4857074.0,1350962.6,856445.7846687733,578849.0,868647.0,1082591.0,1576769.0,4806870.0,476.07272727272726,1260.3904135674763,0.0,0.0,0.0,64.0,5008.0,1020.9818181818182,647.1414491584164,496.0,667.5,791.0,1155.0,3586.0,1343.5100678827798,63.358116987639804,1134.7882703777336,1335.7953542287073,1370.9655172413793,1379.6496772991684,1384.246835443038,206.08685924606044,112.96183618177757,96.00139020017016,123.08493811475486,162.49582624726537,262.7189469615688,505.50838326213807,1412.4,41.47181104209353,1392.0,1392.0,1392.0,1392.0,1506.0,59.96363636363636,2.348866049218583,58.0,58.0,58.0,62.0,64.0,36348.56363636364,43794.284221068054,5133.0,12060.0,15999.0,37406.5,165145.0,32774.236363636366,40923.58753279346,4391.0,10418.0,13605.0,33402.5,155205.0,467.1272727272727,1260.3373307195927,0.0,0.0,0.0,64.0,5000.0,255.3090909090909,232.67334220981175,53.0,111.0,168.0,258.5,970.0,122.85767687009192,46.45816374907658,88.06796116504854,95.54621848739495,105.28571428571429,128.4995951198445,288.1601642710472,169.64994117330477,96.35819157046116,45.97715244549317,96.8716282362412,133.5887099268572,201.27349321138195,437.81891634043996,1063.2,299.9269911161714,753.0,754.0,972.0,1392.0,1434.0,66.94545454545455,4.39872953803954,54.0,65.0,66.0,70.0,71.0
1,1,1,24,1588222538,1588222779,2,1,1,2833700.963636364,1772170.5288007278,573.0,1043340.5,3558427.0,4037683.5,5103843.0,2804589.109090909,1754382.4717537728,489.0,1031202.5,3522335.0,3996726.5,5052085.0,328.0,471.68288154303497,0.0,0.0,32.0,892.0,1232.0,2079.418181818182,1271.077083231049,6.0,867.0,2578.0,2925.5,3760.0,1132.220603240478,473.66704100547946,82.4375,1196.0933766233766,1374.3724978241949,1380.3104519948192,1385.350172215844,176.12208084028507,140.07495482162219,28.716216563990457,105.8881937072835,134.16303109790277,179.82187835810512,588.7587719917406,1215.8545454545454,476.62639372145486,152.0,1392.0,1392.0,1484.0,1484.0,58.345454545454544,2.09247489314715,54.0,58.0,58.0,58.0,63.0,55829.236363636366,28831.424116599683,2881.0,37307.0,57399.0,78674.0,112627.0,48814.218181818185,25039.819067127424,2797.0,31378.0,48927.0,68974.0,100377.0,353.5272727272727,499.8924274853932,0.0,0.0,64.0,986.0,1348.0,501.07272727272726,294.4843487349229,6.0,369.0,496.0,697.5,1014.0,172.80858457386273,139.17517257684344,86.46013667425969,92.83394751617956,105.33037475345168,167.1694135076554,611.0,197.10873330069543,151.92702630245805,54.4903034472816,72.76428787594676,128.61959539657207,273.0667491286449,583.7219657793711,1213.9272727272728,266.5815735446382,760.0,972.5,1392.0,1392.0,1434.0,66.54545454545455,4.520808604410327,54.0,66.0,66.0,70.0,71.0
1,1,1,29,1588226895,1588227137,2,1,1,3887575.8363636364,660397.5866079621,944502.0,3700256.5,3969312.0,4297292.0,4480791.0,3847938.7818181817,653860.9055528806,933988.0,3662547.5,3928950.0,4253444.0,4435319.0,133.01818181818183,278.56055202555365,0.0,0.0,0.0,128.0,1072.0,2831.2181818181816,467.0692188732364,751.0,2699.0,2888.0,3132.0,3248.0,1370.3948106356197,19.831383346528053,1257.659121171771,1368.9117420744844,1376.862015503876,1378.6913839446488,1383.2935552407932,156.87996826071893,47.79286009319296,105.70876335329636,131.32718454852153,140.3403792213988,170.17118329015761,386.2734464246922,1398.2181818181818,26.12696273618848,1392.0,1392.0,1392.0,1392.0,1506.0,60.29090909090909,2.199938780905196,58.0,58.0,60.0,62.5,63.0,79184.58181818182,15874.908256008926,51632.0,65261.5,79519.0,94073.5,103680.0,66629.63636363637,12586.391765718032,43849.0,55580.0,68949.0,78316.5,86292.0,120.8,254.22929283096659,0.0,0.0,0.0,64.0,872.0,896.7818181818182,255.46302848466925,264.0,693.0,917.0,1144.5,1242.0,92.33222293909985,20.80587773042263,79.8125,82.25565462826353,84.39473684210526,96.47309834805992,195.57575757575756,75.30117416162237,68.39549539977202,9.420247877259905,37.173713149076015,52.51181725610042,121.3009561211712,323.3592996730296,961.7272727272727,408.5760482522039,149.0,777.0,973.0,1392.0,1434.0,65.69090909090909,5.4734129351117975,54.0,65.0,66.0,71.0,71.0
1,1,1,27,1588223022,1588223263,2,1,1,3793334.2363636363,1072606.0879976526,723580.0,3684550.0,4070525.0,4390042.0,5323179.0,3754684.0545454547,1062067.813631632,715502.0,3647478.0,4029491.0,4345655.0,5268229.0,190.54545454545453,347.55387635544656,0.0,0.0,0.0,192.0,1156.0,2760.7272727272725,753.5958847922125,577.0,2648.0,2931.0,3173.0,3925.0,1364.5409425135829,46.48408459264734,1175.9976608187135,1371.262933024049,1384.905871938625,1387.657631460838,1391.9781132075473,142.08588964126895,108.90567789425121,0.9533912788463496,74.67725255374356,95.39707665660549,162.4956575506294,471.26871190960424,1404.509090909091,33.25149549812689,1392.0,1392.0,1392.0,1392.0,1506.0,83.47272727272727,172.99837877055106,58.0,58.0,58.0,62.5,1343.0,48888.03636363636,29795.085799111755,16414.0,26943.5,38583.0,59545.0,137905.0,42352.58181818182,28161.52982001097,13502.0,22155.5,32018.0,51159.0,128203.0,180.5090909090909,342.5802351397663,0.0,0.0,0.0,156.0,1200.0,466.8181818181818,154.31474460997043,208.0,326.0,456.0,575.0,804.0,100.12284445859468,38.05728371086576,73.13807531380753,80.02040555352576,83.55218216318785,101.97811366189103,252.72093023255815,108.43848145371993,101.95919604444231,5.115174548170256,47.78937734201112,63.05337845984989,145.71063455746142,415.72807109552883,956.8545454545455,447.96004361259793,99.0,796.0,969.0,1392.0,1434.0,65.89090909090909,6.063469020755082,54.0,65.0,70.0,70.0,71.0
1,1,0,27,1588223264,1588223505,2,1,1,2032015.9272727272,560458.7549479197,946151.0,1787603.5,1958609.0,2213695.5,3486061.0,2011211.1636363636,554775.304893951,936519.0,1769501.5,1938631.0,2190854.5,3450613.0,71.41818181818182,171.96626401592835,0.0,0.0,0.0,0.0,648.0,1486.0545454545454,406.49688706301214,688.0,1293.0,1427.0,1631.5,2532.0,1366.5316259428935,23.4759060966855,1267.3105906313647,1363.473151229528,1375.140834575261,1379.57699461553,1383.6834365325078,164.31352017595646,59.224223906016164,99.96464361627848,122.74969662895728,144.54126619097528,188.9728993598428,370.5886992091433,1392.0,0.0,1392.0,1392.0,1392.0,1392.0,1392.0,60.67272727272727,2.479953295965138,58.0,58.0,62.0,62.0,64.0,30074.70909090909,15232.418436752689,10273.0,17129.0,32293.0,38226.5,78932.0,26335.945454545454,13830.016264174821,8775.0,14770.0,27554.0,34089.5,70518.0,85.52727272727273,214.2570154904354,0.0,0.0,0.0,0.0,792.0,267.05454545454546,110.30469889957816,85.0,171.0,277.0,341.0,601.0,110.31155163641088,21.288685014115657,87.30409356725146,94.40346889361071,103.89010989010988,121.49346500145222,183.26013513513513,145.02967254881852,60.714987629236745,74.00856426638049,97.09846881804003,120.92036721169667,204.9980631745862,307.9194840880694,983.0363636363636,306.32589542634844,727.0,728.0,734.0,1392.0,1434.0,67.21818181818182,4.491518381765499,54.0,65.0,70.0,70.0,71.0
1,1,0,25,1588224232,1588224474,2,1,1,1145806.0545454544,1317056.1999699604,168.0,6030.0,929322.0,1509201.0,5100487.0,1133844.709090909,1303502.8653068803,140.0,5596.0,919620.0,1493850.0,5047511.0,103.49090909090908,207.83476990747138,0.0,0.0,0.0,32.0,732.0,854.3818181818182,968.4407760417447,2.0,29.5,691.0,1096.5,3784.0,949.5442908751493,554.4711304785556,84.0,234.27083333333331,1331.250081512879,1368.8424295610657,1379.895450145208,231.84405137745642,139.7236485219145,21.561282171728305,141.5236488584663,227.61105771952435,331.1920871559011,635.442391274248,1207.8545454545454,448.776914727038,110.0,1392.0,1392.0,1392.0,1506.0,58.54545454545455,1.1835004861314593,58.0,58.0,58.0,58.0,62.0,30107.6,36003.13881974839,1471.0,8436.0,17363.0,33129.5,141927.0,27110.072727272727,32568.858129299915,1387.0,7974.0,15002.0,29958.5,128907.0,106.98181818181818,210.7639974622388,0.0,0.0,0.0,64.0,784.0,214.1090909090909,269.42267994988924,6.0,31.0,144.0,219.5,1070.0,203.861456805782,108.23994480440219,88.7517730496454,97.71347429519071,184.47727272727272,273.5,442.95652173913044,281.46553299446583,143.5585422448149,81.52136351670188,120.97578494609657,310.07578328818346,389.56717319735503,533.8080161534115,1244.418181818182,236.39222670909643,767.0,962.5,1392.0,1392.0,1434.0,66.16363636363636,4.491818226111892,54.0,65.0,66.0,70.0,70.0
1,1,1,25,1588223990,1588224232,2,1,1,2982244.654545455,1737227.8465314405,2311.0,1466697.5,3970239.0,4299647.5,4858175.0,2951758.0,1719986.7058491728,1905.0,1450387.5,3930255.0,4256226.5,4809021.0,66.18181818181819,162.50961121537932,0.0,0.0,0.0,0.0,552.0,2177.6181818181817,1231.906599557641,22.0,1165.0,2856.0,3101.5,3511.0,1150.3406547724803,460.67284452919813,79.6896551724138,1250.9678856301387,1382.7278185456971,1387.3457613140527,1390.2404769791322,159.3692438537519,136.34565644554607,30.090786135060043,73.71031793355321,102.86007339106784,157.5802969917242,612.9936480997569,1269.8727272727272,330.50433148646204,152.0,1392.0,1392.0,1392.0,1506.0,59.32727272727273,2.3018072244035768,58.0,58.0,58.0,60.0,64.0,38678.818181818184,22702.381887672873,9080.0,20535.0,33946.0,48575.0,100737.0,34088.34545454545,21365.774429471163,8674.0,17380.5,28527.0,41170.0,94815.0,69.6,178.0097375613667,0.0,0.0,0.0,0.0,596.0,327.8909090909091,165.4153775742967,24.0,250.0,372.0,473.5,547.0,163.7847977153217,122.37444727342086,72.90808823529412,82.33748806352716,96.86570247933884,244.60296694544007,494.4230769230769,195.3524883070084,161.81465860291874,10.369763420829772,66.85042942023705,141.78472874874757,387.6051512435506,534.8032113329828,1145.0363636363636,341.8502468125352,167.0,970.0,1392.0,1392.0,1434.0,66.76363636363637,4.764699035863326,54.0,65.0,66.0,70.0,71.0
1,1,1,26,1588223506,1588223748,2,1,1,3269534.581818182,1301790.6226737262,1332660.0,2168336.0,2615412.0,5003977.0,5362182.0,3236242.8363636364,1288484.2788977225,1318170.0,2146405.0,2589008.0,4953171.0,5306882.0,90.9090909090909,233.51415792808365,0.0,0.0,0.0,0.0,824.0,2377.981818181818,950.8296472985149,1035.0,1566.5,1886.0,3629.0,3950.0,1375.623579300667,19.016690529599607,1287.5942028985507,1377.9681730784355,1381.4752233956133,1384.2465630674837,1386.9922229423203,129.91194605478958,56.06761903573218,77.24912316396625,96.98641982326006,115.65059516824026,133.80685479127166,343.5759935560634,1396.1454545454546,21.536719876302037,1392.0,1392.0,1392.0,1392.0,1506.0,60.56363636363636,2.432523734143558,58.0,58.0,62.0,63.0,64.0,50316.236363636366,34411.620792854934,10728.0,23291.5,34357.0,80474.0,133642.0,42934.67272727273,29730.18448327268,8992.0,19693.5,28757.0,68168.0,117038.0,106.32727272727273,281.95370348532566,0.0,0.0,0.0,0.0,1000.0,527.2545454545455,344.73748564195046,118.0,261.0,391.0,878.0,1317.0,94.44113537450308,14.328146207977868,81.53503184713375,86.72058823529412,90.59737417943107,94.64452304244293,164.7896103896104,95.64000990287833,50.584962595152156,35.853131093615914,61.0507280098581,77.59725678393286,116.58708821448745,277.0791998850493,1006.2545454545455,298.7793821399314,736.0,766.0,766.0,1392.0,1434.0,66.49090909090908,6.005777241070491,54.0,65.0,70.0,70.5,71.0
1,1,0,26,1588223748,1588223990,2,1,1,1199608.2363636363,1046787.3034244307,211019.0,535645.0,722738.0,1333108.0,4339179.0,1187137.0363636364,1035821.2842562636,208835.0,530199.0,715192.0,1318933.0,4293679.0,82.18181818181819,197.95969388751945,0.0,0.0,0.0,0.0,720.0,890.8,783.6492129064436,156.0,389.0,539.0,1012.5,3250.0,1353.2986192760475,32.27628220194749,1245.0629669156883,1341.6113172541745,1365.306068601583,1376.9794344473007,1381.844802342606,199.46108948648907,78.23575543114846,110.72031923204848,134.83971018629603,178.03381115819676,244.65298547724274,401.6697822400012,1396.1454545454546,21.536719876302037,1392.0,1392.0,1392.0,1392.0,1506.0,59.85454545454545,2.320745265180689,58.0,58.0,58.0,62.0,64.0,32384.545454545456,47771.570454580724,3847.0,8038.5,9611.0,32601.0,188004.0,29421.127272727274,44194.4462587001,3357.0,7170.5,8533.0,29045.0,173248.0,84.50909090909092,211.53555630789722,0.0,0.0,0.0,0.0,720.0,211.6727272727273,269.87521496023237,35.0,62.0,77.0,254.0,1102.0,135.66020375132166,38.917654105982145,95.06666666666666,116.31558998022413,129.61290322580646,139.806091660324,352.85714285714283,196.28749945455968,73.3600038563574,73.93042292056175,161.4728356688846,190.31300847580258,201.07080894922592,498.28201692149685,1059.2545454545455,283.7224268333673,757.0,758.0,961.0,1392.0,1434.0,66.7090909090909,4.779093077115222,54.0,65.0,66.0,70.0,71.0
